Country,Year,Population,Total examined,Total pockmarks,Total percentage,Preschool examined,Preschool with pockmarks,Preschool percentage,School age examined,School age with pockmarks,School age percentage,Adults examined,Adults with pockmarks,Adult percentage,Source,Notes,UN_region
Chad,1976-77,4200000,158849,,,13802.00,0.00,0.00,130806.00,78.00,0.06,14241.00,1.00,0.01,RB 1169,,Central Africa
China,1979,,15661,125,0.01,1231.00,0.00,0.00,8715.00,0.00,0.00,5715.00,125.00,2.19,https://apps.who.int/iris/bitstream/handle/10665/68284/WHO_SE_79.151.pdf?sequence=1&isAllowed=y,Tibet and Western China,East Asia
"China, Yunnan Province",1979,,,,,,0.00,,,0.00,,< 26263,1020.00,> 3.88,RB 1258,,East Asia
"China, Yunnan Province, Kunming Municipality",1979,,20102,57,0.28,,,,,,,,,,RB 1258,,East Asia
Congo,1976-77,1400000,93162,,,7440.00,0.00,0.00,80935.00,19.00,0.02,4787.00,0.00,0.00,RB 1169,,Central Africa
Equatorial Guinea,1976-77,300000,8942,,,353.00,0.00,0.00,8589.00,0.00,0.00,0.00,,,RB 1169,,Central Africa
Gabon,1976-77,1000000,71331,,,5298.00,0.00,0.00,66033.00,55.00,0.08,,1.00,,RB 1169,,Central Africa
Gambia,1975-76,,24694,,,2481.00,0.00,0.00,11207.00,8.00,0.07,11006.00,33.00,0.30,RB 1165,"preschool, primary school, over primary school age",West Africa
Ghana,1975-76,,724465,,,20074.00,0.00,0.00,454215.00,5.00,0.00,240176.00,56.00,0.02,RB 1165,"preschool, primary school, over primary school age",West Africa
Guinea,1975-76,,68263,,,0.00,,,68263.00,546.00,0.80,0.00,,,RB 1165,"preschool, primary school, over primary school age",West Africa
Guinea-Bissau,1975-76,,28156,,,1463.00,0.00,0.00,26408.00,0.00,0.00,285.00,2.00,0.70,RB 1165,"preschool, primary school, over primary school age",West Africa
"India, Andaman and Nicobar Islands",1976,115113,17000,,0.10,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"India, Bastar",1976,1514000,8736,,3.80,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"India, Ladakh",1976,104250,1010,,2.70,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"India, Mizoram",1976,332390,1420,,0.70,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"India, Sikkim",1975,255497,1495,,2.80,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"Indonesia, South Sulawesi",1974,,459,,0.90,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southeast Asia
