ISOALPHA,COUNTRYNM,original_gpw_name,updated_gpw_name,notes
IDN,indonesia,sumatra,sumatera barat,
IDN,indonesia,sumatra,sumatera selatan,
IDN,indonesia,sumatra,sumatera utara,
IDN,indonesia,sumatra,aceh,
IDN,indonesia,sumatra,jambi,
IDN,indonesia,sumatra,lampung,
IDN,indonesia,sumatra,riau,
IDN,indonesia,sumatra,bangka belitung,
IDN,indonesia,western new guinea,papua,
IDN,indonesia,western new guinea,papua barat,
IND,india,andhra pradesh,andhra pradesh,
IND,india,andhra pradesh,telangana,
IRL,ireland,connacht,galway,
IRL,ireland,connacht,leitrim,
IRL,ireland,connacht,mayo,
IRL,ireland,connacht,roscommon,
IRL,ireland,connacht,sligo,
IRL,ireland,leinster,carlow,
IRL,ireland,leinster,dublin,
IRL,ireland,leinster,kildare,
IRL,ireland,leinster,kilkenny,
IRL,ireland,leinster,laois,
IRL,ireland,leinster,longford,
IRL,ireland,leinster,louth,
IRL,ireland,leinster,meath,
IRL,ireland,leinster,offaly,
IRL,ireland,leinster,westmeath,
IRL,ireland,leinster,wexford,
IRL,ireland,leinster,wicklow,
IRL,ireland,munster,clare,"Cork county also in province, but not listed on GADM"
IRL,ireland,munster,kerry,UK counties not included in GADM under Ireland (most of which would be in this province)
IRL,ireland,munster,limerick,
IRL,ireland,munster,tipperary,
IRL,ireland,munster,waterford,
IRL,ireland,ulster,cavan,
IRL,ireland,ulster,donegal,
IRL,ireland,ulster,monaghan,
ISL,iceland,southwest,sudurnes,
ISL,iceland,southwest,sudurland,
KEN,kenya,central,kiambu,
KEN,kenya,central,nyandarua,
KEN,kenya,central,nyeri,
KEN,kenya,central,kirinyaga,
KEN,kenya,central,muranga,
KEN,kenya,coast,kilifi,
KEN,kenya,coast,mombasa,
KEN,kenya,coast,kwale,
KEN,kenya,coast,tana river,
KEN,kenya,coast,lamu,
KEN,kenya,coast,taita taveta,
KEN,kenya,eastern,meru,
KEN,kenya,eastern,marsabit,
KEN,kenya,eastern,isiolo,
KEN,kenya,eastern,tharaka-nithi,
KEN,kenya,eastern,embu,
KEN,kenya,eastern,kitui,
KEN,kenya,eastern,machakos,
KEN,kenya,eastern,makueni,
KEN,kenya,north eastern,mandera,
KEN,kenya,north eastern,garissa,
KEN,kenya,north eastern,wajir,
KEN,kenya,nyanza,kisii,
KEN,kenya,nyanza,kisumu,
KEN,kenya,nyanza,siaya,
KEN,kenya,nyanza,homa bay,
KEN,kenya,nyanza,migori,
KEN,kenya,nyanza,nyamira,
KEN,kenya,rift valley,nakuru,
KEN,kenya,rift valley,turkana,
KEN,kenya,rift valley,west pokot,
KEN,kenya,rift valley,samburu,
KEN,kenya,rift valley,trans nzoia,
KEN,kenya,rift valley,uasin gishu,
KEN,kenya,rift valley,elgeyo-marakwet,
KEN,kenya,rift valley,nandi,
KEN,kenya,rift valley,baringo,
KEN,kenya,rift valley,laikipia,
KEN,kenya,rift valley,nakuru,
KEN,kenya,rift valley,narok,
KEN,kenya,rift valley,kajiado,
KEN,kenya,rift valley,kericho,
KEN,kenya,rift valley,bomet,
KEN,kenya,western,kakamega,
KEN,kenya,western,bungoma,
KEN,kenya,western,busia,
KEN,kenya,western,vihiga,
KNA,saint kitts and nevis,nevis,saint george gingerland,
KNA,saint kitts and nevis,nevis,saint james windward,
KNA,saint kitts and nevis,nevis,saint john figtree,
KNA,saint kitts and nevis,nevis,saint paul charlestown,
KNA,saint kitts and nevis,nevis,saint thomas lowland,
KNA,saint kitts and nevis,saint kitts,christ church nichola town,
KNA,saint kitts and nevis,saint kitts,saint anne sandy point,
KNA,saint kitts and nevis,saint kitts,saint george basseterre,
KNA,saint kitts and nevis,saint kitts,saint john capisterre,
KNA,saint kitts and nevis,saint kitts,saint mary cayon,
KNA,saint kitts and nevis,saint kitts,saint paul capisterre,
KNA,saint kitts and nevis,saint kitts,saint peter basseterre,
KNA,saint kitts and nevis,saint kitts,saint thomas middle island,
KNA,saint kitts and nevis,saint kitts,trinity palmetto point,
LKA,sri lanka,central,kandy,
LKA,sri lanka,central,nuwara eliya,
LKA,sri lanka,central,matale,
LKA,sri lanka,eastern,ampara,
LKA,sri lanka,eastern,batticaloa,
LKA,sri lanka,eastern,trincomalee,
LKA,sri lanka,north central,anuradhapura,
LKA,sri lanka,north central,polonnaruwa,
LKA,sri lanka,north western,kurunegala,
LKA,sri lanka,north western,puttalam,
LKA,sri lanka,northern,jaffna,
LKA,sri lanka,northern,kilinochchi,
LKA,sri lanka,northern,mannar,
LKA,sri lanka,northern,mullaitivu,
LKA,sri lanka,northern,vavuniya,
LKA,sri lanka,sabaragamuwa,ratnapura,
LKA,sri lanka,sabaragamuwa,kegalle,
LKA,sri lanka,southern,galle,
LKA,sri lanka,southern,hambantota,
LKA,sri lanka,southern,matara,
LKA,sri lanka,uva,badulla,
LKA,sri lanka,uva,moneragala,
LKA,sri lanka,western,colombo,
LKA,sri lanka,western,gampaha,
LKA,sri lanka,western,kalutara,
MAR,morocco,beni mellal-khenifra,tadla - azilal,
MAR,morocco,casablanca-settat,grand casablanca,
MAR,morocco,casablanca-settat,chaouia-ouardigha,3 of 4 regions joined casablanca-settat
MAR,morocco,casablanca-settat,doukkala-abda,1 of 2 regions joined casablanca-settat (including most populous)
MAR,morocco,fes-meknes,meknes - tafilalet,3 of 5 regions joined fes-meknes (including most populous)
MAR,morocco,fes-meknes,fes - boulemane,
MAR,morocco,fes-meknes,taza-al hoceima-taounate,2 of 4 regions joined fes-meknes
MAR,morocco,guelmim-oued noun,guelmim - es-semara,
MAR,morocco,laayoune-sakia el hamra,laayoune - boujdour - sakia el hamra,
MAR,morocco,marrakech-safi,marrakech - tensift - al haouz,
MAR,morocco,rabat-sale-kenitra,rabat - sale - zemmour - zaer,
MAR,morocco,rabat-sale-kenitra,gharb-chrarda-beni hssen,Most populous region (kenitra) joined rabat-sale-kenitra
MAR,morocco,souss-massa,souss - massa - draa,
MAR,morocco,tanger-tetouan-al hoceima,tanger - tetouan,
MKD,the former yugoslav republic of macedonia,eastern,berovo,
MKD,the former yugoslav republic of macedonia,eastern,cesinovo-oblesevo,
MKD,the former yugoslav republic of macedonia,eastern,delcevo,
MKD,the former yugoslav republic of macedonia,eastern,karbinci,
MKD,the former yugoslav republic of macedonia,eastern,kocani,
MKD,the former yugoslav republic of macedonia,eastern,makedonska kamenica,
MKD,the former yugoslav republic of macedonia,eastern,pehcevo,
MKD,the former yugoslav republic of macedonia,eastern,probistip,
MKD,the former yugoslav republic of macedonia,eastern,stip,
MKD,the former yugoslav republic of macedonia,eastern,vinitsa,
MKD,the former yugoslav republic of macedonia,eastern,zrnovci,
MKD,the former yugoslav republic of macedonia,northeastern,kratovo,
MKD,the former yugoslav republic of macedonia,northeastern,kriva palanka,
MKD,the former yugoslav republic of macedonia,northeastern,kumanovo,
MKD,the former yugoslav republic of macedonia,northeastern,lipkovo,
MKD,the former yugoslav republic of macedonia,northeastern,rankovce,
MKD,the former yugoslav republic of macedonia,northeastern,staro nagoricane,
MKD,the former yugoslav republic of macedonia,pelagonia,bitola,
MKD,the former yugoslav republic of macedonia,pelagonia,demir hisar,
MKD,the former yugoslav republic of macedonia,pelagonia,dolneni,
MKD,the former yugoslav republic of macedonia,pelagonia,krivogastani,
MKD,the former yugoslav republic of macedonia,pelagonia,krusevo,
MKD,the former yugoslav republic of macedonia,pelagonia,mogila,
MKD,the former yugoslav republic of macedonia,pelagonia,novatsi,
MKD,the former yugoslav republic of macedonia,pelagonia,prilep,
MKD,the former yugoslav republic of macedonia,pelagonia,resen,
MKD,the former yugoslav republic of macedonia,polog,bogovinje,
MKD,the former yugoslav republic of macedonia,polog,brvenica,
MKD,the former yugoslav republic of macedonia,polog,gostivar,
MKD,the former yugoslav republic of macedonia,polog,jegunovtse,
MKD,the former yugoslav republic of macedonia,polog,mavrovo and rostusa,
MKD,the former yugoslav republic of macedonia,polog,tearce,
MKD,the former yugoslav republic of macedonia,polog,tetovo,
MKD,the former yugoslav republic of macedonia,polog,vrapciste,
MKD,the former yugoslav republic of macedonia,polog,zelino,
MKD,the former yugoslav republic of macedonia,skopje,aracinovo,
MKD,the former yugoslav republic of macedonia,skopje,cucer sandevo,
MKD,the former yugoslav republic of macedonia,skopje,ilinden,
MKD,the former yugoslav republic of macedonia,skopje,petrovec,
MKD,the former yugoslav republic of macedonia,skopje,sopiste,
MKD,the former yugoslav republic of macedonia,skopje,studenicani,
MKD,the former yugoslav republic of macedonia,skopje,zelenikovo,
MKD,the former yugoslav republic of macedonia,southeastern,bogdanci,
MKD,the former yugoslav republic of macedonia,southeastern,bosilovo,
MKD,the former yugoslav republic of macedonia,southeastern,gevgelija,
MKD,the former yugoslav republic of macedonia,southeastern,konce,
MKD,the former yugoslav republic of macedonia,southeastern,novo selo,
MKD,the former yugoslav republic of macedonia,southeastern,radovis,
MKD,the former yugoslav republic of macedonia,southeastern,strumitsa,
MKD,the former yugoslav republic of macedonia,southeastern,valandovo,
MKD,the former yugoslav republic of macedonia,southeastern,vasilevo,
MKD,the former yugoslav republic of macedonia,southeastern,star dojran,
MKD,the former yugoslav republic of macedonia,southwestern,centar zupa,
MKD,the former yugoslav republic of macedonia,southwestern,debar,
MKD,the former yugoslav republic of macedonia,southwestern,debarca,
MKD,the former yugoslav republic of macedonia,southwestern,kicevo,
MKD,the former yugoslav republic of macedonia,southwestern,makedonski brod,
MKD,the former yugoslav republic of macedonia,southwestern,ohrid,
MKD,the former yugoslav republic of macedonia,southwestern,plasnica,
MKD,the former yugoslav republic of macedonia,southwestern,struga,
MKD,the former yugoslav republic of macedonia,southwestern,vevcani,
MKD,the former yugoslav republic of macedonia,vardar,caska,
MKD,the former yugoslav republic of macedonia,vardar,demir kapija,
MKD,the former yugoslav republic of macedonia,vardar,gradsko,
MKD,the former yugoslav republic of macedonia,vardar,kavadartsi,
MKD,the former yugoslav republic of macedonia,vardar,lozovo,
MKD,the former yugoslav republic of macedonia,vardar,negotino,
MKD,the former yugoslav republic of macedonia,vardar,rosoman,
MKD,the former yugoslav republic of macedonia,vardar,sveti nikole,
MKD,the former yugoslav republic of macedonia,vardar,veles,
OMN,oman,al batinah,al batinah north,
OMN,oman,al batinah,al batinah south,
OMN,oman,ash sharqiyah,ash sharqiyah south,
OMN,oman,ash sharqiyah,ash sharqiyah north,
POL,poland,region centralny,mazowieckie,
POL,poland,region centralny,lodzkie,
POL,poland,region ponocno-zachodni,lubuskie,
POL,poland,region ponocno-zachodni,wielkopolskie,
POL,poland,region ponocno-zachodni,zachodniopomorskie,
POL,poland,region ponocny,kujawsko-pomorskie,
POL,poland,region ponocny,warminsko-mazurskie,
POL,poland,region ponocny,pomorskie,
POL,poland,region poudniowo-zachodni,dolnoslaskie,
POL,poland,region poudniowo-zachodni,opolskie,
POL,poland,region poudniowy,malopolskie,
POL,poland,region poudniowy,slaskie,
POL,poland,region wschodni,lubelskie,
POL,poland,region wschodni,podkarpackie,
POL,poland,region wschodni,podlaskie,
POL,poland,region wschodni,swietokrzyskie,
PRT,portugal,continente,aveiro,
PRT,portugal,continente,beja,
PRT,portugal,continente,braga,
PRT,portugal,continente,braganca,
PRT,portugal,continente,castelo branco,
PRT,portugal,continente,coimbra,
PRT,portugal,continente,evora,
PRT,portugal,continente,faro,
PRT,portugal,continente,guarda,
PRT,portugal,continente,leiria,
PRT,portugal,continente,lisboa,
PRT,portugal,continente,portalegre,
PRT,portugal,continente,porto,
PRT,portugal,continente,santarem,
PRT,portugal,continente,setubal,
PRT,portugal,continente,viana do castelo,
PRT,portugal,continente,vila real,
PRT,portugal,continente,viseu,
ROU,romania,macroregiunea 1,cluj,
ROU,romania,macroregiunea 1,brasov,
ROU,romania,macroregiunea 1,bihor,
ROU,romania,macroregiunea 1,bistrita-nasaud,
ROU,romania,macroregiunea 1,maramures,
ROU,romania,macroregiunea 1,salaj,
ROU,romania,macroregiunea 1,satu mare,
ROU,romania,macroregiunea 1,alba,
ROU,romania,macroregiunea 1,covasna,
ROU,romania,macroregiunea 1,harghita,
ROU,romania,macroregiunea 1,mures,
ROU,romania,macroregiunea 1,sibiu,
ROU,romania,macroregiunea 2,braila,
ROU,romania,macroregiunea 2,bacau,
ROU,romania,macroregiunea 2,botosani,
ROU,romania,macroregiunea 2,iasi,
ROU,romania,macroregiunea 2,neamt,
ROU,romania,macroregiunea 2,suceava,
ROU,romania,macroregiunea 2,vaslui,
ROU,romania,macroregiunea 2,buzau,
ROU,romania,macroregiunea 2,constanta,
ROU,romania,macroregiunea 2,galati,
ROU,romania,macroregiunea 2,tulcea,
ROU,romania,macroregiunea 2,vrancea,
ROU,romania,macroregiunea 3,arges,
ROU,romania,macroregiunea 3,calarasi,
ROU,romania,macroregiunea 3,dambovita,
ROU,romania,macroregiunea 3,giurgiu,
ROU,romania,macroregiunea 3,ialomita,
ROU,romania,macroregiunea 3,prahova,
ROU,romania,macroregiunea 3,teleorman,
ROU,romania,macroregiunea 3,bucharest,
ROU,romania,macroregiunea 3,ilfov,
ROU,romania,macroregiunea 4,timis,
ROU,romania,macroregiunea 4,arad,
ROU,romania,macroregiunea 4,caras-severin,
ROU,romania,macroregiunea 4,hunedoara,
ROU,romania,macroregiunea 4,dolj,
ROU,romania,macroregiunea 4,gorj,
ROU,romania,macroregiunea 4,mehedinti,
ROU,romania,macroregiunea 4,olt,
ROU,romania,macroregiunea 4,valcea,
RUS,russian federation,arhangelskaja,arkhangelsk,
RUS,russian federation,arhangelskaja,nenets,
RUS,russian federation,tjumenskaja,khanty-mansiy,
RUS,russian federation,tjumenskaja,tyumen,
RUS,russian federation,tjumenskaja,yamal-nenets,
SDN,sudan,southern darfur,central darfur,
SDN,sudan,southern darfur,south darfur,
SDN,sudan,southern darfur,east darfur,
SDN,sudan,western darfur,west darfur,
SDN,sudan,western darfur,east darfur,
SDN,sudan,north kordofan,north kurdufan,
SDN,sudan,north kordofan,west kurdufan,
SDN,sudan,southern kordofan,south kurdufan,
SDN,sudan,southern kordofan,west kurdufan,
SOM,somalia,central,galguduud,
SOM,somalia,central,hiiraan,
SOM,somalia,central,shabeellaha dhexe,
SOM,somalia,central,shabeellaha hoose,
SOM,somalia,north-east,bari,
SOM,somalia,north-east,mudug,
SOM,somalia,north-east,nugaal,
SOM,somalia,south,bakool,
SOM,somalia,south,bay,
SOM,somalia,south,gedo,
SOM,somalia,south,jubbada dhexe,
SOM,somalia,south,jubbada hoose,
SOM,somalia,north-west,awdal,
SOM,somalia,north-west,sanaag,
SOM,somalia,north-west,sool,
SOM,somalia,north-west,togdheer,
SOM,somalia,north-west,woqooyi galbeed,
SRB,serbia,south and east serbia,borski,
SRB,serbia,south and east serbia,podunavski,
SRB,serbia,south and east serbia,branicevski,
SRB,serbia,south and east serbia,zajecarski,
SRB,serbia,south and east serbia,nisavski,
SRB,serbia,south and east serbia,pirotski,
SRB,serbia,south and east serbia,jablanicki,
SRB,serbia,south and east serbia,toplicki,
SRB,serbia,south and east serbia,pcinjski,
SRB,serbia,sumadija and west serbia,macvanski,
SRB,serbia,sumadija and west serbia,kolubarski,
SRB,serbia,sumadija and west serbia,moravicki,
SRB,serbia,sumadija and west serbia,sumadijski,
SRB,serbia,sumadija and west serbia,pomoravski,
SRB,serbia,sumadija and west serbia,rasinski,
SRB,serbia,sumadija and west serbia,raski,
SRB,serbia,sumadija and west serbia,zlatiborski,
SRB,serbia,vojvodin,juzno-banatski,
SRB,serbia,vojvodin,severno-banatski,
SRB,serbia,vojvodin,srednje-banatski,
SRB,serbia,vojvodin,juzno-backi,
SRB,serbia,vojvodin,severno-backi,
SRB,serbia,vojvodin,zapadno-backi,
SRB,serbia,vojvodin,sremski,
TCD,chad,ennedi,ennedi ouest,
TCD,chad,ennedi,ennedi est,
VNM,viet nam,central highlands,dak lak,
VNM,viet nam,central highlands,dak nong,
VNM,viet nam,central highlands,gia lai,
VNM,viet nam,central highlands,kon tum,
VNM,viet nam,central highlands,lam dong,
VNM,viet nam,mekong river delta,an giang,
VNM,viet nam,mekong river delta,ben tre,
VNM,viet nam,mekong river delta,bac lieu,
VNM,viet nam,mekong river delta,ca mau,
VNM,viet nam,mekong river delta,can tho,
VNM,viet nam,mekong river delta,dong thap,
VNM,viet nam,mekong river delta,hau giang,
VNM,viet nam,mekong river delta,kien giang,
VNM,viet nam,mekong river delta,long an,
VNM,viet nam,mekong river delta,soc trang,
VNM,viet nam,mekong river delta,tien giang,
VNM,viet nam,mekong river delta,tra vinh,
VNM,viet nam,mekong river delta,vinh long,
VNM,viet nam,north and south central coast,ha tinh,
VNM,viet nam,north and south central coast,nghe an,
VNM,viet nam,north and south central coast,quang binh,
VNM,viet nam,north and south central coast,quang tri,
VNM,viet nam,north and south central coast,thanh hoa,
VNM,viet nam,north and south central coast,thua thien hue,
VNM,viet nam,north and south central coast,binh dinh,
VNM,viet nam,north and south central coast,binh thuan,
VNM,viet nam,north and south central coast,da nang,
VNM,viet nam,north and south central coast,khanh hoa,
VNM,viet nam,north and south central coast,ninh thuan,
VNM,viet nam,north and south central coast,phu yen,
VNM,viet nam,north and south central coast,quang nam,
VNM,viet nam,north and south central coast,quang ngai,
VNM,viet nam,northern midlands and mountains,dien bien,
VNM,viet nam,northern midlands and mountains,hoa binh,
VNM,viet nam,northern midlands and mountains,lai chau,
VNM,viet nam,northern midlands and mountains,lao cai,
VNM,viet nam,northern midlands and mountains,son la,
VNM,viet nam,northern midlands and mountains,yen bai,
VNM,viet nam,northern midlands and mountains,bac giang,
VNM,viet nam,northern midlands and mountains,bac kan,
VNM,viet nam,northern midlands and mountains,cao bang,
VNM,viet nam,northern midlands and mountains,ha giang,
VNM,viet nam,northern midlands and mountains,lang son,
VNM,viet nam,northern midlands and mountains,phu tho,
VNM,viet nam,northern midlands and mountains,quang ninh,
VNM,viet nam,northern midlands and mountains,thai nguyen,
VNM,viet nam,northern midlands and mountains,tuyen quang,
VNM,viet nam,red river delta,bac ninh,
VNM,viet nam,red river delta,ha nam,
VNM,viet nam,red river delta,ha noi,
VNM,viet nam,red river delta,hai duong,
VNM,viet nam,red river delta,hai phong,
VNM,viet nam,red river delta,hung yen,
VNM,viet nam,red river delta,nam dinh,
VNM,viet nam,red river delta,ninh binh,
VNM,viet nam,red river delta,thai binh,
VNM,viet nam,red river delta,vinh phuc,
VNM,viet nam,southeast,ba ria-vung tau,
VNM,viet nam,southeast,binh duong,
VNM,viet nam,southeast,binh phuoc,
VNM,viet nam,southeast,dong nai,
VNM,viet nam,southeast,ho chi minh,
VNM,viet nam,southeast,tay ninh,
