ISOALPHA,COUNTRYNM,NAME1,tot_popn_2010,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB,row_sum
IRN,iran (islamic republic of),razavi khorasan,5936728,6492981,0.08297603911793389,0.07532391984593484,0.07550917315513467,0.08796947251207121,0.11204776366659865,0.11548031616686055,0.09283114238648817,0.07416949778142787,0.06533082622753256,0.05366692572419184,0.04697030385200685,0.035691008604120125,0.024816887431498656,0.017898977052674295,0.014913133605488037,0.012160133310256255,0.007477355217196955,0.004767124342584454,5980834.059333253
IRN,iran (islamic republic of),semnan,626031,661777,0.08299029412257584,0.07533704676234639,0.07551734151232879,0.08797391589488421,0.11203551067102584,0.11547471070080946,0.09283104107472553,0.07418129748732563,0.06533423987670404,0.053665364425353905,0.04696626857908505,0.03568372757429761,0.024799858463690472,0.017888989972858416,0.014912060474465774,0.012165002421113427,0.0074766845379350055,0.004766645448474722,630681.6419214881
IRN,iran (islamic republic of),sistan and baluchestan,2534723,2557194,0.08297665760137221,0.07532448938488623,0.07550952755653753,0.08796966529760507,0.11204723204454581,0.11548007296189478,0.0928311379908637,0.07417000973655226,0.06533097433590082,0.053666857983949184,0.0469701287731813,0.03569069270128657,0.024816148593818498,0.017898543742155083,0.01491308704543555,0.012160344566899095,0.007477326118362805,0.00476710356475358,2553554.1064515943
IRN,iran (islamic republic of),south khorasan,656282,716397,0.08298082661995304,0.07532832848278928,0.07551191647423854,0.08797096480931864,0.11204364853352655,0.11547843358732365,0.09283110836122616,0.07417346067847558,0.06533197269171911,0.05366640136649947,0.046968948617284303,0.035688563291343886,0.024811168301985015,0.017895622920845906,0.014912773197542556,0.012161768587034166,0.007477129971509465,0.004766963507384828,661157.7086417575
IRN,iran (islamic republic of),tehran,12106910,13122490,0.08298494790523221,0.07533212362482725,0.07551427803995561,0.08797224944223433,0.11204010605202273,0.11547681298282012,0.09283107907083397,0.0741768721087372,0.06533295961683293,0.0536659499771047,0.046967781973617166,0.03568645826214333,0.024806245032150218,0.017892735541566722,0.014912462943060294,0.01216317630280856,0.0074769360704453275,0.0047668250536070595,12196860.685776735
IRN,iran (islamic republic of),west azarbaijan,3036495,3489261,0.08298760330576915,0.07533456888680808,0.07551579962908334,0.08797307714881206,0.11203782358268377,0.11547576880514814,0.09283106019863326,0.07417907013996648,0.06533359550619743,0.053665659140736954,0.04696703028912797,0.0356851019630059,0.02480307290198286,0.017890875163561158,0.014912263041849162,0.012164083313357428,0.007476811137334677,0.00476673584594224,3059055.6720770076
IRN,iran (islamic republic of),yazd,1051867,1273281,0.08301476151406875,0.07535957789516624,0.07553136173879252,0.08798154254879056,0.11201447954215764,0.11546508943895663,0.09283086718249457,0.07420155058656712,0.06534009908845428,0.053662684600908735,0.04695934240790246,0.03567123036285406,0.024770629822062615,0.017871848077933513,0.014910218544736224,0.012173359797666929,0.007475533379273153,0.0047658234712140484,1059683.4492298518
IRN,iran (islamic republic of),zanjan,997822,1159018,0.08297843132263293,0.0753261227404208,0.07551054392862469,0.08797021817869932,0.1120457074292054,0.11547937548514463,0.09283112538484697,0.07417147794997954,0.06533139908933053,0.05366666371470744,0.04696962667237152,0.03568978673754118,0.024814029713957846,0.01789730107010784,0.014912953517923105,0.012160950420468778,0.007477242667105095,0.0047670439769326445,1005235.3587898943
IRQ,iraq,al-anbar,1437834,1936839,0.15194392530179748,0.13889790672662597,0.12348283502244813,0.106510030048382,0.09284740879037393,0.08009346528956406,0.07087687501804679,0.06039462586094233,0.048906339372698074,0.03284221146576952,0.024729016620632396,0.02466411115808546,0.014830920175333391,0.013175827922984022,0.009606021568097546,0.006198479658219087,0,0,1511754.402273236
IRQ,iraq,al-basrah,2269625,3201399,0.15194392530179748,0.13889790672662594,0.1234828350224481,0.10651003004838197,0.0928474087903739,0.080093465289564,0.07087687501804679,0.06039462586094232,0.04890633937269806,0.032842211465769516,0.024729016620632396,0.024664111158085457,0.01483092017533339,0.01317582792298402,0.009606021568097544,0.006198479658219087,0,0,2386308.716133958
IRQ,iraq,al-muthanna,652873,928712,0.15194392530179748,0.13889790672662594,0.1234828350224481,0.10651003004838196,0.0928474087903739,0.08009346528956401,0.07087687501804679,0.06039462586094232,0.04890633937269807,0.03284221146576953,0.0247290166206324,0.024664111158085464,0.014830920175333391,0.013175827922984025,0.009606021568097547,0.006198479658219088,0,0,686436.8991737345
IRQ,iraq,al-qadisiyah,1319090,1763995,0.15194392530179748,0.13889790672662597,0.12348283502244815,0.106510030048382,0.09284740879037393,0.08009346528956403,0.0708768750180468,0.06039462586094233,0.04890633937269808,0.03284221146576953,0.024729016620632403,0.02466411115808547,0.014830920175333396,0.013175827922984025,0.00960602156809755,0.00619847965821909,0,0,1386904.875225499
IRQ,iraq,an-najaf,1133553,1621199,0.1519439253017975,0.138897906726626,0.12348283502244811,0.10651003004838198,0.09284740879037393,0.08009346528956403,0.0708768750180468,0.06039462586094233,0.04890633937269808,0.03284221146576953,0.0247290166206324,0.024664111158085464,0.014830920175333396,0.013175827922984024,0.00960602156809755,0.0061984796582190875,0,0,1191829.922709229
IRQ,iraq,arbil,1851459,2430901,0.15194392530179743,0.13889790672662597,0.12348283502244811,0.10651003004838196,0.0928474087903739,0.08009346528956401,0.07087687501804679,0.06039462586094232,0.04890633937269806,0.032842211465769516,0.024729016620632392,0.02466411115808546,0.014830920175333391,0.013175827922984018,0.009606021568097546,0.006198479658219086,0,0,1946643.4518254993
IRQ,iraq,as-sulaymaniyah,1718751,2154086,0.1519439253017975,0.1388979067266259,0.12348283502244813,0.10651003004838201,0.09284740879037391,0.08009346528956401,0.07087687501804679,0.06039462586094232,0.04890633937269807,0.03284221146576952,0.0247290166206324,0.024664111158085467,0.014830920175333393,0.013175827922984022,0.009606021568097546,0.0061984796582190875,0,0,1807113.1462446551
IRQ,iraq,babylon,1627942,2208770,0.15194392530179748,0.13889790672662594,0.12348283502244811,0.10651003004838198,0.09284740879037391,0.08009346528956403,0.07087687501804679,0.060394625860942325,0.048906339372698074,0.03284221146576952,0.0247290166206324,0.02466411115808546,0.014830920175333391,0.013175827922984022,0.009606021568097546,0.006198479658219087,0,0,1711635.1018782947
IRQ,iraq,baghdad,6502694,7817994,0.15194392530179748,0.13889790672662594,0.12348283502244813,0.106510030048382,0.09284740879037391,0.08009346528956403,0.0708768750180468,0.060394625860942325,0.04890633937269808,0.03284221146576953,0.024729016620632403,0.02466411115808547,0.014830920175333393,0.013175827922984024,0.00960602156809755,0.0061984796582190875,0,0,6837002.113653846
IRQ,iraq,dihok,1239455,2577411,0.1519439253017975,0.138897906726626,0.12348283502244815,0.10651003004838201,0.09284740879037393,0.08009346528956406,0.07087687501804682,0.06039462586094236,0.04890633937269809,0.03284221146576954,0.024729016620632403,0.024664111158085464,0.014830920175333396,0.013175827922984025,0.009606021568097546,0.006198479658219088,0,0,1303176.7812218978
IRQ,iraq,diyala,1306523,1545283,0.1519439253017975,0.13889790672662602,0.12348283502244814,0.10651003004838201,0.09284740879037394,0.08009346528956403,0.0708768750180468,0.060394625860942346,0.04890633937269809,0.03284221146576953,0.024729016620632406,0.024664111158085467,0.014830920175333396,0.013175827922984025,0.00960602156809755,0.006198479658219089,0,0,1373692.8432465442
IRQ,iraq,kerbela,917801,1388782,0.1519439253017975,0.13889790672662597,0.12348283502244813,0.10651003004838198,0.09284740879037393,0.08009346528956404,0.07087687501804679,0.06039462586094234,0.04890633937269808,0.03284221146576953,0.0247290166206324,0.02466411115808546,0.014830920175333395,0.013175827922984024,0.00960602156809755,0.006198479658219088,0,0,964984.8560783089
IRQ,iraq,kirkuk,1092511,1691215,0.15194392530179743,0.1388979067266259,0.12348283502244807,0.10651003004838194,0.09284740879037387,0.08009346528956399,0.07087687501804678,0.0603946258609423,0.04890633937269805,0.032842211465769516,0.024729016620632392,0.024664111158085457,0.01483092017533339,0.013175827922984022,0.009606021568097544,0.006198479658219086,0,0,1148677.905085875
IRQ,iraq,maysan,938697,1264195,0.15194392530179746,0.1388979067266259,0.12348283502244808,0.10651003004838197,0.09284740879037388,0.080093465289564,0.07087687501804679,0.060394625860942304,0.04890633937269807,0.03284221146576952,0.024729016620632392,0.024664111158085457,0.01483092017533339,0.01317582792298402,0.009606021568097544,0.006198479658219085,0,0,986954.8714685722
