NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
southern transdanubia,HUN,hungary,841180,37563,39509,41674,51455,51145,47496,58674,64577,58864,53341,61729,70499,58244,44295,38019,29781,20692,13598
southland,NZL,new zealand,101246,6621,6590,6512,6117,5645,5517,5533,5926,6567,6811,7255,6337,5461,4594,3658,2818,2090,1837
southwest,ISL,iceland,103019,8188,7591,7448,7835,7148,6930,7193,7545,7017,7277,6856,5713,4900,3639,2769,2285,1605,1068
southwest finland,FIN,finland,478152,25222,24416,25469,28108,30155,30669,30192,28288,30420,32949,31461,33607,35812,27780,21673,16712,14011,11966
southwestern,MKD,the former yugoslav republic of macedonia,221420,10791,12246,15377,18972,19692,18953,16773,16041,15627,15858,14923,12591,9653,7387,6637,5150,2682,1261
sowa,BWA,botswana,4493,513,465,448,454,431,447,367,292,213,175,141,115,80,59,47,37,27,41
spaanse water,CUW,curacao,4633,276,303,332,353,249,237,245,306,342,393,367,319,281,218,164,118,74,61
spanish wells,BHS,bahamas,1573,62,77,114,100,102,88,84,125,122,125,123,103,76,76,63,35,34,14
splitsko-dalmatinska,HRV,croatia,450748,23711,23342,26383,27652,28668,29738,30091,30030,29848,31471,33270,31194,29025,18248,21397,17288,11061,6606
spodnjeposavska,SVN,slovenia,67845,3137,3015,3195,3506,3993,4786,5063,4845,4941,5329,5292,5095,4011,3067,2933,2660,1763,1155
sta. rosa,CUW,curacao,6371,377,414,453,483,342,327,338,422,472,542,506,440,386,301,226,163,103,86
stanley,FLK,falkland islands (malvinas),2296,137,152,150,127,132,154,168,201,216,164,162,142,109,89,65,58,0,0
stann creek,BLZ,belize,43919,5299,5610,5569,4896,4120,3587,3094,2610,2182,1871,1499,1145,833,552,459,351,200,147
stara zagora,BGR,bulgaria,300058,14047,13370,13402,14932,17041,18819,21084,21785,20617,20229,21389,22204,22975,17101,15239,13397,8367,4399
stavropol,RUS,russian federation,2894329,167196,151304,147324,210301,259805,240908,215671,196840,179434,204133,212393,186967,143329,81681,142840,63776,59063,25258
steenrijk,CUW,curacao,3289,194,213,233,249,176,169,175,218,243,280,261,227,199,155,116,84,53,44
stefan voda,MDA,republic of moldova,70583,3789,4563,6294,6053,5139,4415,4152,4079,5205,5410,4950,2914,2698,2477,1848,0,0,0
steiermark,AUT,austria,1225370,52130,54449,57829,69216,78499,79178,76972,80627,96508,102722,93767,77833,69891,59145,63263,41593,35627,31984
stenen koraal,CUW,curacao,4301,255,281,307,327,231,220,228,284,318,365,341,297,261,203,152,109,69,57
sth.tarawa,KIR,kiribati,70335,9579,7545,8329,7480,7098,5768,4607,3856,4193,3587,2669,2007,1361,1044,762,438,187,89
stockholm,SWE,sweden,2396995,165704,144225,125003,148087,152545,170663,180886,190544,179922,172948,146273,132052,136990,122437,79266,58185,46688,53065
straseni,MDA,republic of moldova,83728,4219,4982,6799,7985,7157,5929,4918,4860,6266,6514,5847,3523,2758,2608,1864,0,0,0
stredocesky,CZE,czech republic,1531298,94126,75008,65273,81120,89601,100583,134150,139217,105607,98797,92857,106976,107335,78971,52000,42927,31913,20420
streymoyar,FRO,faeroe islands,23566,1697,1803,1786,1890,1414,1142,1426,1534,1887,1659,1569,1378,1256,1016,698,584,432,385
stung treng,KHM,cambodia,147639,18430,18260,18438,17642,13275,12345,7787,9000,6963,6431,4690,3429,2249,1856,1344,927,394,243
suchitepequez,GTM,guatemala,632969,93065,86142,77271,68326,56805,48501,39226,31169,24924,20422,16912,15041,12558,9214,7304,5541,0,0
sucre,COL,colombia,1852902,182688,186331,196164,187238,157724,140963,131864,121334,106500,92780,77936,65305,51057,39909,29649,22676,7730,7120
sucre,VEN,venezuela (bolivarian republic of),1852902,182688,186331,196164,187238,157724,140963,131864,121334,106500,92780,77936,65305,51057,39909,29649,22676,7730,7120
sucumbios,ECU,ecuador,245151,28687,30031,28191,24808,21820,20414,17183,15203,12527,11149,7839,6434,4623,3757,2547,1277,684,561
sud,CMR,cameroon,1837379,258720,203772,205972,204157,170000,141624,115773,104275,91697,79867,65106,46763,46493,38474,32597,18838,12287,9779
sud,HTI,haiti,1837379,258720,203772,205972,204157,170000,141624,115773,104275,91697,79867,65106,46763,46493,38474,32597,18838,12287,9779
sud,NCL,new caledonia,1837379,258720,203772,205972,204157,170000,141624,115773,104275,91697,79867,65106,46763,46493,38474,32597,18838,12287,9779
