NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
caaguazu,PRY,paraguay,532123,61733,62745,66532,62952,53608,40595,30538,28455,26845,23919,20904,17227,12881,9916,7230,5016,0,0
caazapa,PRY,paraguay,180525,22633,21950,21754,21092,18799,14159,9874,8653,8197,7579,6965,5869,4299,3390,2635,1904,0,0
cabanas,SLV,el salvador,149783,15938,21031,22095,17849,11060,8940,7829,7234,6229,5513,5029,4421,3879,3166,2575,1985,1210,1027
cabinda,AGO,angola,1130858,217632,181140,132284,109288,94630,84645,65437,60188,45713,37649,30861,21035,15498,9368,7835,4040,2903,2483
cabo delgado,MOZ,mozambique,2295257,390973,321670,214122,191134,173974,158671,146051,121631,84376,73423,59995,51420,37010,31936,16204,12748,4838,5156
cabo rojo,PRI,puerto rico,55425,3242,3387,3960,3904,3248,3013,3544,4056,3900,3442,3151,3309,3640,3119,2501,1832,1213,1099
cacheu,GNB,guinea-bissau,237027,34453,30321,25670,23034,19419,17017,11958,10984,8406,7793,6125,4867,4393,3249,2495,1889,0,0
cagayan,PHL,philippines,1308953,135627,132546,139731,137380,116078,99694,92109,83641,76677,71966,61921,47784,33246,22983,20787,13486,0,0
cagayan de oro city,PHL,philippines,782097,82009,78964,76502,83453,80753,68363,61624,52455,46341,40351,35070,26499,17737,9907,7609,4512,0,0
caguas,PRI,puerto rico,145731,8767,9627,10285,10901,9794,9456,9770,9826,9809,9850,9375,8566,8327,6844,5606,4108,2682,2545
cahul,MDA,republic of moldova,182661,9620,11120,14996,18450,15463,12844,11311,10609,13463,13132,11862,6470,6561,5788,4715,0,0,0
cairo,EGY,egypt,7645491,590603,635907,636716,761882,817885,664887,505199,479609,466910,430719,401820,296021,254472,155906,111044,0,0,0
cajamarca,PER,peru,1462287,158477,162642,182377,147340,126348,111039,99392,91730,77400,64977,52346,41300,36720,29614,23996,17618,10805,8744
cakuadrove,FJI,fiji,55116,6491,6678,6319,4425,4041,4130,3931,3605,3584,3008,2361,1930,1526,1232,773,0,0,0
calabria,ITA,italy,1849391,82181,86543,92083,104276,118319,120199,122719,130347,135483,138049,127346,115586,112659,84716,85100,0,0,0
calarasi,MDA,republic of moldova,70984,3385,4100,6105,6410,5310,4683,4430,4373,5249,5131,4612,2997,2580,2638,2119,0,0,0
caldas,COL,colombia,845994,78941,80380,87991,92342,70261,62384,57471,62919,60981,55425,47047,36489,28430,24188,18975,14094,0,0
callao,PER,peru,1311584,119952,111041,121813,119818,121335,117550,110505,95605,83962,70368,61358,46160,35590,27197,20960,15304,9269,6377
camaguey,CUB,cuba,783145,44289,40102,47488,46219,56524,52315,43914,60491,71217,72980,54168,43396,39945,31936,25210,18117,12966,11996
camarines norte,PHL,philippines,649418,79792,80111,80283,68638,53411,43772,41243,37780,37000,31453,26364,20423,15839,11099,8060,4908,0,0
camarines sur,PHL,philippines,2296955,280937,297292,286546,248944,190308,155414,143888,127588,120100,104596,89342,71900,56393,40313,29902,18645,0,0
camiguin,PHL,philippines,91403,9877,10160,10048,9460,7235,5842,5711,5478,5369,4989,4118,3330,2751,2247,1800,1207,0,0
campania,ITA,italy,5636781,281162,303506,319773,346072,366442,362729,372136,417843,430662,435182,380199,336334,321981,255633,231465,0,0,0
campeche,MEX,mexico,938196,83716,85197,88474,90241,83183,74297,70709,67417,55038,46635,38866,30843,23284,16417,14025,9057,5718,5399
camuy,PRI,puerto rico,35165,2004,2282,2697,2759,2273,2185,2443,2381,2479,2358,2233,2147,2165,1714,1201,852,546,541
canakkale,TUR,turkey,535885,28531,28850,33679,36521,55303,41432,40686,39215,38053,39313,36973,33701,27458,20933,18021,14179,9134,4361
canar,ECU,ecuador,242517,23939,25049,28044,26243,21342,17296,14082,12484,11307,10456,9087,8078,7271,6652,5073,3614,2794,2370
canarias,ESP,spain,2177663,102071,111505,109202,108847,126330,151349,186460,202916,197165,182932,148830,124286,106343,94472,70373,64290,40055,30058
canaries,LCA,saint lucia,2488,158,207,186,231,208,158,156,154,171,155,119,91,89,68,49,47,40,30
canelones,URY,uruguay,592770,39962,44295,46928,46780,41215,38195,40738,41313,37446,35791,33928,29801,25385,21928,18467,14855,10809,7988
canillo,AND,andorra,8295,248,289,246,225,254,435,849,934,782,859,744,652,678,404,261,188,165,130
canindeyu,PRY,paraguay,243259,31247,29635,28990,27119,24212,20238,16636,15223,13141,10681,8792,6785,4702,3342,2191,1327,0,0
cankiri,TUR,turkey,137583,9185,9229,10684,11233,10383,9946,9678,9122,8442,9226,7632,8521,7082,6399,5390,4646,2415,1047
cankuzo,BDI,burundi,391805,63733,54203,45752,38843,31129,25191,19357,16071,13527,11410,9153,6875,5163,3793,2916,1788,0,0
canovanas,PRI,puerto rico,52550,3543,3650,4215,4353,3618,3035,3576,3805,3884,3669,3222,2882,2892,2319,1619,1112,647,660
cantabria,ESP,spain,564036,26760,25512,22676,22656,26715,34307,45519,47430,44762,43462,42742,36961,33191,26558,20459,23236,18730,17125
cantemir,MDA,republic of moldova,66411,3895,4571,6453,6399,5333,4380,4030,3886,4923,4755,3934,2192,2186,1997,1701,0,0,0
canterbury,NZL,new zealand,615017,36250,36402,36985,38735,38823,33513,33177,36452,43078,42832,43216,37782,34405,28707,22245,16066,12883,11669
capital,BHR,bahrain,422465,28675,26748,24409,23454,36998,61626,54512,44455,35696,27175,20265,11765,5543,3104,2466,1418,857,567
capiz,PHL,philippines,773182,74091,82196,87548,85189,67434,56095,50815,46324,44657,40660,34905,28959,21701,16525,13162,8527,0,0
caprivi,"NAM",namibia,115035,15505,13717,13619,12410,10214,9455,6692,6195,4462,3703,3000,1967,1997,1668,1342,1155,1042,1059
caqueta,COL,colombia,523696,72408,69231,65059,58489,47494,41703,36400,35024,29689,23676,19181,15110,11596,9652,7695,4929,0,0
carabobo,VEN,venezuela (bolivarian republic of),2817973,228118,220983,227233,243433,246760,228456,220365,187992,174438,149851,133005,111991,84030,53097,36266,25881,15911,13316
carazo,NIC,nicaragua,182867,17466,20485,23135,20883,18757,13858,11918,10916,9261,7627,6249,4646,3891,3313,2569,1924,1244,1286
carchi,ECU,ecuador,174981,15844,17418,18136,16636,13837,12862,11817,11390,10194,8823,6906,6010,5290,4699,3839,2875,1795,1314
carolina,PRI,puerto rico,168459,9589,10274,11458,12660,11049,10992,11589,11169,11235,11223,10074,9942,10388,8814,7088,5219,3322,2904
carriacou,GRD,grenada,5030,472,425,472,567,567,472,378,283,189,283,189,189,94,94,94,94,0,0
cartago,CRI,costa rica,575978,40877,41541,47673,51431,53200,46443,42252,37054,36847,34929,29683,22671,16383,12866,9536,6924,4698,3623
casablanca-settat,MAR,morocco,7635694,734638,646813,630319,614254,654794,625315,609021,550871,510785,439301,432079,341006,273207,148487,126050,0,0,0
casanare,COL,colombia,722571,91359,92315,90457,80358,64488,62068,56679,52413,43670,34185,26421,20583,15684,11725,8075,5472,0,0
cascades,BFA,burkina faso,1042167,188944,177164,130702,119109,96706,79520,61488,50307,40051,31891,26565,20390,16263,10669,7857,4042,2466,2019
castel,GGY,guernsey,8621,448,431,431,476,565,544,544,517,639,683,668,580,527,501,332,304,0,0
castilla y leon,ESP,spain,2273661,91794,91490,89568,94459,111582,132612,160005,170403,172813,176811,168875,143214,129975,119057,98709,114756,94911,91619
castilla-la mancha,ESP,spain,2171662,116331,112174,107672,112560,129043,147972,176600,179596,172173,163116,144856,110208,98556,87541,77595,85110,70464,59971
castletown,IMN,isle of man,2981,158,166,151,215,177,165,155,168,229,232,206,168,206,186,136,114,64,49
castries,LCA,saint lucia,70711,4697,5203,5622,6148,5405,5457,5181,5144,5021,4522,3589,2553,2084,1632,1273,998,759,689
cat island,BHS,bahamas,1404,91,103,153,118,61,64,71,99,116,111,79,62,57,55,38,31,25,25
cataluna,ESP,spain,7632458,430353,403449,356413,340715,380938,493355,651012,692137,621418,564858,501935,435516,401558,346633,267719,274975,210378,188399
catamarca,ARG,argentina,411857,35462,39331,42293,40465,32051,30372,31498,26338,22142,19930,18745,17016,13594,10519,7705,6151,4057,3130
catanduanes,PHL,philippines,293867,34152,36377,37319,32834,23142,18689,17245,15970,15752,13650,11247,9038,7552,6387,5315,3382,0,0
catano,PRI,puerto rico,26417,1637,1850,2014,2135,2131,1803,1633,1488,1529,1835,1839,1707,1460,1075,855,645,450,397
cauca,COL,colombia,1431148,164583,174328,170705,149622,136072,119566,98535,91890,83455,71422,59261,49172,39663,34786,27306,18813,0,0
causeni,MDA,republic of moldova,79890,4307,4865,6641,7141,5988,5371,4815,4718,5774,5994,5710,3333,3007,2875,2020,0,0,0
cavite,PHL,philippines,4079209,429338,425764,410485,389623,377568,361078,344409,295760,264481,216598,172814,126371,91745,54171,41283,24814,0,0
cayenne,GUF,french guiana,180929,20272,19717,18346,16309,12250,12501,12713,13439,12558,11336,9891,7625,4907,3070,2161,1562,1022,863
cayey,PRI,puerto rico,48986,2840,3090,3504,3784,3527,3169,3199,3048,3268,3328,3225,3023,3026,2329,1756,1328,867,795
cayo,BLZ,belize,98046,11413,13196,12863,11296,9109,7680,6414,6036,4935,4114,3316,2429,1727,1271,935,694,478,390
ceara,BRA,brazil,9617895,704390,760717,925737,925237,898840,811287,718555,629622,591140,523555,408834,342112,292704,224067,186700,122383,90560,77223
cebu,PHL,philippines,4425448,494176,485208,464805,465601,409746,356682,317153,278710,249642,219993,182540,147477,109532,77697,59735,38210,0,0
ceiba,PRI,puerto rico,10361,611,677,771,799,683,617,648,716,665,634,570,571,727,594,455,283,186,166
central,BHR,bahrain,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,BWA,botswana,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,GHA,ghana,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,KEN,kenya,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,LKA,sri lanka,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,MSR,montserrat,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,NPL,nepal,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,PNG,papua new guinea,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,PRY,paraguay,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,SGP,singapore,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,SLB,solomon islands,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,SOM,somalia,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,SYC,seychelles,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central,ZMB,zambia,30440712,3205554,3388252,3385841,2955397,2603441,2410593,2108166,1876485,1594783,1370594,1143462,902878,783853,529003,396420,139551,29597,32387
central abaco,BHS,bahamas,22478,2109,1919,1944,1841,1381,1671,1905,1908,1537,1707,1280,877,575,480,368,200,135,51
central andros,BHS,bahamas,7285,613,704,862,676,354,336,436,516,546,478,389,256,233,235,189,123,80,61
central eleuthera,BHS,bahamas,8395,630,598,815,771,475,463,565,637,620,597,443,411,303,321,208,138,92,81
central equatoria,SSD,south sudan,1586957,210423,207905,178002,165421,143690,137097,96563,85632,56596,45605,31272,18910,17069,0,0,0,0,0
central highlands,VNM,viet nam,6551617,660192,671606,743665,726855,575570,545131,498011,474261,419297,349272,259159,158877,104070,79801,67466,53396,28815,25557
central hungary,HUN,hungary,3026676,152902,142087,131624,160108,192159,204124,263665,272229,224936,169717,171606,227856,196671,168864,124634,95429,72218,55756
central transdanubia,HUN,hungary,1000308,47029,48066,48445,59946,60458,61137,77600,82776,71980,62396,70067,80985,65892,51181,43094,33231,22029,13948
centre,BFA,burkina faso,10784014,1557295,1349129,1213336,1279987,1230167,1024743,769249,596964,483709,381825,283823,183772,151998,110505,84694,45714,27167,25151
centre,CMR,cameroon,10784014,1557295,1349129,1213336,1279987,1230167,1024743,769249,596964,483709,381825,283823,183772,151998,110505,84694,45714,27167,25151
centre,HTI,haiti,10784014,1557295,1349129,1213336,1279987,1230167,1024743,769249,596964,483709,381825,283823,183772,151998,110505,84694,45714,27167,25151
centre,TGO,togo,10784014,1557295,1349129,1213336,1279987,1230167,1024743,769249,596964,483709,381825,283823,183772,151998,110505,84694,45714,27167,25151
centre-est,BFA,burkina faso,1578036,295479,283090,207061,162302,119554,106235,87331,74511,61795,48137,42413,32454,29169,20970,18032,11179,7158,7493
centre-nord,BFA,burkina faso,1585876,304725,286179,209021,166784,124594,106342,83530,70748,62779,47983,43005,30301,28261,18065,17569,9783,6675,6041
centre-ouest,BFA,burkina faso,1545767,276535,275617,211537,167495,117546,99100,80861,70341,60378,48245,42439,33253,31304,21858,19474,10821,7347,7204
centre-sud,BFA,burkina faso,804324,142761,138071,106804,82948,59024,52066,42197,38678,33210,27454,23730,20303,17058,13275,10636,6509,4149,3960
centre-val de loire,FRA,france,2590668,154788,158156,153589,156408,144223,144491,150045,175843,178299,177866,176347,179361,157135,112260,111033,103749,82050,73013
cerro largo,URY,uruguay,86750,5936,7007,7744,7434,5057,4976,5595,5718,5304,5006,4771,4456,4154,3475,2887,2116,1419,1203
cesar,COL,colombia,982504,129567,129080,125649,110486,86995,78143,69791,66395,57375,46307,36638,29272,20994,17289,12736,8993,0,0
cetinje,MNE,montenegro,15074,681,669,788,1014,1166,1154,1004,894,977,1123,1128,1090,1040,614,704,537,308,157
ceuta y melilla,ESP,spain,168160,13557,11937,10959,10853,11772,12893,13742,12993,12386,12179,11205,8645,6124,5166,4192,3779,2486,1714
chachoengsao,THA,thailand,736520,49128,54529,65382,56135,38639,39429,48244,58674,62893,57531,52215,42486,35447,24918,18934,12974,7254,4495
chaco,ARG,argentina,1146930,101338,112855,124704,121092,95346,86733,81228,66882,59268,56931,52842,45167,34084,26583,20896,14804,9280,6115
chaguanas,TTO,trinidad and tobago,98422,6804,6683,6264,7238,8168,9651,8717,7794,6996,7283,6343,5304,4021,2925,1831,982,0,0
chahar mahall and bakhtiari,IRN,iran (islamic republic of),915880,76568,69507,69675,81170,103377,106548,85653,68441,60281,49516,43336,32927,22888,16509,13759,11222,6898,4398
chai nat,THA,thailand,237080,14819,16430,20022,18923,14319,13641,16048,19012,20221,18562,16771,13427,11153,7829,5882,4012,2264,1417
chaiyaphum,THA,thailand,774875,40138,43187,51055,54631,59680,68077,69891,68407,67236,60993,50673,38680,29523,21367,18495,12698,7632,4920
chalatenango,SLV,el salvador,222132,20026,28192,31999,26504,16617,14084,12643,11577,10098,9088,8130,7067,6104,5152,4101,3188,1853,1602
champasak,LAO,lao people's democratic republic,804115,100583,104910,110218,86992,68991,57743,47342,48851,36267,32380,27010,20227,15294,12501,9138,0,0,0
chandigarh,IND,india,1200272,90092,100372,102870,114927,133446,121331,99941,92093,75857,66426,51666,38440,28397,17433,12530,7068,4630,3768
changhua,TWN,taiwan,1161848,53922,64733,79745,70250,66646,97961,98984,84537,86694,92714,85980,74796,51762,41153,40988,33044,0,0
chanthaburi,THA,thailand,448743,28908,32070,38788,35103,25522,25023,29934,35873,38288,35092,31769,25620,21320,14973,11301,7720,4338,2701
chari baguirmi,TCD,chad,787018,160884,137846,90538,68017,55772,49895,42881,31688,30044,19969,20883,10446,13606,6280,8361,3203,0,0
charlotte,VCT,saint vincent and the grenadines,15907,1374,1298,1464,1513,1290,1147,1144,1113,939,1039,865,659,533,398,375,266,0,0
chatham islands,NZL,new zealand,625,39,51,30,21,39,30,33,39,48,45,66,42,39,15,24,15,9,2
chechnya,RUS,russian federation,1533520,186727,163536,143937,135841,164071,135992,112755,89225,84697,84983,80047,55626,28703,14735,22941,15044,7871,3547
chelyabinsk,RUS,russian federation,3373460,196857,168809,153576,195597,286682,283890,259148,238470,208195,237811,264713,248605,191789,93438,158018,83265,68668,28812
cherkasy,UKR,ukraine,1190356,58938,51629,50848,62463,81918,97006,82617,85150,85044,84726,92080,80670,79467,49265,67361,44525,26472,21909
chernihiv,UKR,ukraine,978554,46659,41316,39715,47214,64854,81815,68567,66899,65093,67171,76001,71821,66228,38313,54323,39220,30451,22532
chernivtsi,UKR,ukraine,892972,55376,48133,46880,58891,69047,77749,69147,65111,61648,58936,64780,54261,49279,30102,34945,27205,18877,11404
chhattisgarh,IND,india,29873269,2877374,3124459,3265983,2944066,2705986,2329800,2055396,2015145,1785476,1511369,1124705,894059,842334,604492,422395,188630,120047,91453
chhukha,BTN,bhutan,95201,8621,9678,9841,9743,12328,10738,7512,6708,4772,3844,2690,1759,1278,916,741,0,0,0
chiang mai,THA,thailand,1837430,95707,106560,130520,137040,115802,113932,120925,130767,148017,162778,155537,122922,87989,60657,53377,40578,23118,13217
chiang rai,THA,thailand,1112495,60962,67744,81751,81147,66448,66539,72194,79664,90402,98631,93359,74085,53272,36915,32371,24346,13836,7935
chiapas,MEX,mexico,5782680,625188,641755,636225,612795,506032,423181,387074,355456,284544,245592,201081,158544,127383,90908,78937,45785,28436,26652
chiayi,TWN,taiwan,426344,16323,22186,28297,28273,28049,27835,29712,29472,32324,33679,31734,27689,20595,17915,18615,16232,0,0
chiayi city,TWN,taiwan,261023,9940,14288,18772,21655,12862,16116,19887,19686,22785,21889,20640,18048,11956,9151,8371,6361,0,0
chiba,JPN,japan,6354982,266776,279283,287766,295433,329604,376703,434881,529609,472124,408609,373570,434788,526776,447817,350937,262052,172378,142687
chiconi,MYT,mayotte,7923,1125,1060,923,840,435,496,562,530,448,297,238,212,159,108,80,40,40,16
chiesanuova,SMR,san marino,1122,56,55,56,51,48,55,71,93,101,105,87,72,64,57,45,37,29,29
chihuahua,MEX,mexico,3657123,336526,349572,338881,336490,299195,267033,263025,272302,233569,192310,156848,114305,94292,72423,57193,36174,21845,15722
chikwawa,MWI,malawi,617200,102167,90405,73930,55563,51649,47858,35921,28695,19424,14736,11507,11252,7994,6776,4671,5283,2573,5252
chimaltenango,GTM,guatemala,779278,114583,106059,95136,84122,69936,59711,48290,38370,30682,25140,20820,18517,15461,11343,8992,6822,0,0
chimborazo,ECU,ecuador,518247,49607,53783,55576,52976,44080,37794,31193,28423,25274,23445,20369,19091,16317,14586,11308,8484,5937,4335
chimbu,PNG,papua new guinea,537752,64393,67296,60199,63411,51663,46948,38271,37740,28673,25576,17979,12939,9722,6574,3693,2029,924,629
chin,MMR,myanmar,545158,75631,75006,68766,54015,40137,35415,32277,29280,29176,26040,23868,18499,14784,9876,7321,4186,2902,1985
chinandega,NIC,nicaragua,399158,44121,47347,53734,46143,40757,29675,25037,21977,18926,15585,12323,9858,7748,6224,4522,3501,2109,2070
chiquimula,GTM,guatemala,449510,66031,61125,54837,48498,40338,34459,27891,22174,17731,14524,12022,10687,8922,6547,5190,3937,0,0
chiradzulu,MWI,malawi,395717,64069,54174,46755,35234,33624,30365,22176,16759,12538,10214,8405,9507,6487,5312,3613,4119,2321,3407
chiriqui,PAN,panama,485635,42245,44295,44565,41407,35787,32815,31581,30867,30084,27002,22311,18292,15751,12056,10082,7444,5112,5139
chirongui,MYT,mayotte,10718,1619,1313,1199,1110,686,788,765,734,582,369,302,264,187,133,113,65,45,20
chisinau,MDA,republic of moldova,763004,29945,31240,45877,93275,85034,61714,54302,47121,55448,54545,50095,31217,22406,21863,13660,0,0,0
chitipa,MWI,malawi,289415,48757,42693,37856,29092,24381,18689,14859,12303,9493,7273,5415,4636,3910,3477,2725,2103,1061,1211
chittagong,BGD,bangladesh,33680400,3615159,4344210,4029823,3175423,2919410,2728773,2028323,1839400,1562836,1223531,1094691,686897,820498,427209,478537,182144,0,0
chlef,DZA,algeria,1180220,115125,100027,115539,136370,143440,121008,90627,72256,61475,50047,42473,34166,21114,18406,16218,11176,5225,3356
choco,COL,colombia,534458,82142,78820,77265,70723,48301,38153,30098,27159,23511,21733,15956,12591,9070,10342,6973,5074,0,0
choiseul,LCA,saint lucia,40520,5618,5415,4794,3854,3035,2886,2735,2676,2060,1788,1318,1087,816,778,536,400,211,192
choiseul,SLB,solomon islands,40520,5618,5415,4794,3854,3035,2886,2735,2676,2060,1788,1318,1087,816,778,536,400,211,192
choluteca,HND,honduras,422335,47426,49182,56796,53312,42516,31804,28410,24710,21149,17512,16445,12214,11619,8462,7096,5175,3302,2604
chon buri,THA,thailand,2123173,131280,145567,177960,171015,131562,123886,144578,170387,180959,166228,150041,119734,99324,69680,52131,35466,20050,12541
chongqing,CHN,china,26478025,1429323,1404888,1639220,2048469,1960635,1428667,1328418,2602193,2486920,2008431,1398688,1997217,1498873,1156072,831347,574361,338941,184256
chontales,NIC,nicaragua,158860,15949,18913,21944,18291,16383,12426,10690,8964,7783,6155,4882,3556,2864,2224,1690,1324,909,924
christ church,BRB,barbados,55444,3278,3519,3509,3579,3481,3683,3717,3968,3811,4097,3973,3588,3009,2253,1948,1545,1151,981
christoffel,CUW,curacao,42,2,2,2,3,2,2,2,2,3,3,3,2,2,2,1,1,0,0
chubut,ARG,argentina,651738,56257,54584,58059,56523,52604,54020,54824,45453,37888,35920,31953,27453,21677,16437,12108,8721,5636,4127
chukot,RUS,russian federation,47386,3345,3439,3147,2815,3627,4229,4177,3943,3622,4265,4229,3294,1781,667,494,126,56,20
chumphon,THA,thailand,448029,30267,31971,36284,36078,34575,35799,36547,37022,35428,31732,25668,19938,15629,11411,10100,7459,4595,3135
chungcheongbuk-do,KOR,republic of korea,1525812,69057,75670,101457,109873,96673,98868,102146,116168,123120,122708,116836,87361,64345,62370,61126,44687,24342,14828
chungcheongnam-do,KOR,republic of korea,2242168,106951,110862,141391,158905,142965,145267,155044,169884,168251,168171,157228,121618,105216,96287,98943,78109,41411,25448
chuquisaca,BOL,bolivia (plurinational state of),611696,66085,63408,71125,64390,55284,43462,39893,33613,29457,26231,22990,19091,18314,13497,11259,7096,7005,5058
chuuk,FSM,micronesia (federated states of),49654,6075,5831,6118,5986,4664,3766,3167,2765,2502,2331,1974,1613,1025,509,418,297,152,82
chuvash,RUS,russian federation,1195738,69215,59169,58651,73213,103517,94250,87778,83294,84506,94690,97328,79147,59829,31237,49352,33838,22432,11762
chuy,KGZ,kyrgyzstan,926232,87265,73748,79076,92827,91163,73253,64997,61497,59682,62478,51176,38228,21144,17589,18118,11156,7257,3033
ciales,PRI,puerto rico,17868,1133,1174,1379,1484,1342,1180,1083,992,1119,1256,1334,1040,990,793,594,428,287,296
cibao nordeste,DOM,dominican republic,698385,57254,63539,68645,68700,58986,51255,48437,43106,40406,36147,31044,25140,22324,15704,14045,9116,7034,5552
cibao noroeste,DOM,dominican republic,494800,43167,44520,48070,49099,41819,36600,33845,30666,28499,25108,20773,17382,14823,11149,9809,6856,5066,4913
cibao norte,DOM,dominican republic,1589885,132223,139227,146502,152028,142202,125286,120445,108960,101353,84052,64810,52512,44809,30689,26492,18311,14667,12590
cibao sur,DOM,dominican republic,755687,64954,70255,75765,77570,65280,55000,52534,47198,44947,38242,31057,25487,21761,15366,13746,9054,7151,5746
cibitoke,BDI,burundi,684588,118127,98739,80290,66543,54566,44813,35642,28913,23112,18500,14443,10991,7559,5222,3297,1792,0,0
cidra,PRI,puerto rico,44316,2712,2877,3329,3522,3308,3022,3001,2903,3022,3252,3047,2784,2515,1864,1247,919,571,544
ciego de avila,CUB,cuba,446652,25577,23391,27383,27786,35046,30475,26637,35234,40808,39422,29389,23612,21295,17422,13655,10022,7288,6577
cienfuegos,CUB,cuba,418481,22962,22260,25497,26377,30288,27902,22499,29732,38063,40349,29234,22294,20788,17699,14047,9715,6882,6614
cimislia,MDA,republic of moldova,69260,3348,4590,6230,6439,5270,4277,4053,4069,5076,5120,5048,3006,2535,2274,1760,0,0,0
city of st. petersburg,RUS,russian federation,5244450,216580,197802,176182,270952,460064,457332,418127,387339,351782,395983,418015,373454,339754,160087,264767,151353,121486,72331
ciudad de buenos aires,ARG,argentina,3037737,169425,159947,153942,171515,233341,253256,253741,220250,185012,175550,174931,164820,155593,131351,107578,95429,79855,70691
clarendon,JAM,jamaica,257741,21163,23485,27718,27663,22401,19092,16421,15621,15213,13313,12217,9224,7850,6000,5029,4319,3203,2863
coahuila,MEX,mexico,3216421,289959,304004,301121,294139,258632,236346,243100,238022,199578,168937,141698,107048,87278,62661,48196,31080,19243,14916
coamo,PRI,puerto rico,43777,2952,2975,3582,3566,3067,2930,2954,3013,2852,2762,2834,2400,2456,1841,1464,1008,620,597
coast,KEN,kenya,4325640,691249,605557,512430,440214,427664,382950,303498,232558,162238,134505,108684,77429,62498,41355,33628,21110,0,0
cochabamba,BOL,bolivia (plurinational state of),2006440,211998,192923,205514,222762,195736,158144,142667,118748,101899,88698,77589,64235,55068,41762,31155,20265,16868,13072
cocle,PAN,panama,278027,23698,25963,28604,24084,19793,19033,17361,17467,16581,14500,11816,10012,8870,7656,6188,4224,2831,2852
cojedes,VEN,venezuela (bolivarian republic of),415646,36256,36436,37901,40081,36115,32932,30215,28021,24572,21072,17686,14246,10288,6512,4416,3294,1995,1617
colebay,SXM,sint maarten (dutch part),7214,390,465,436,432,359,416,495,591,653,650,517,448,329,171,66,32,12,31
colima,MEX,mexico,821963,70559,72497,71987,75435,72759,64423,61245,59201,50194,43374,37457,28230,22232,16710,12383,8434,5523,5793
collines,BEN,benin,819344,123797,127208,109645,87182,65701,55311,47179,38388,31487,20169,19509,9677,12912,6636,7176,3370,4105,3093
colon,HND,honduras,616780,71547,69499,74489,67960,57772,48101,40823,36782,32086,26481,22770,17631,14883,10537,8109,5927,3806,3293
colon,PAN,panama,616780,71547,69499,74489,67960,57772,48101,40823,36782,32086,26481,22770,17631,14883,10537,8109,5927,3806,3293
colonia,URY,uruguay,134218,8514,9300,9811,9743,8158,8412,8839,8490,8358,7998,7954,7285,6575,5790,4994,4183,3215,2758
comayagua,HND,honduras,542393,71423,69463,74141,68692,54403,41406,36467,31328,25720,20753,18933,13606,12196,8623,6880,5122,3049,2530
comerio,PRI,puerto rico,21635,1427,1422,1595,1767,1691,1550,1396,1278,1376,1617,1449,1238,1166,945,703,504,285,280
commewijne,SUR,suriname,37779,3146,3249,3408,3125,2920,3003,2764,3018,3094,2927,2538,1714,1017,800,701,598,244,119
comoe,CIV,cote d'ivoire,1293694,203428,182150,164477,139941,118246,100570,86224,71741,59407,49220,40487,32585,26138,19205,12202,6308,0,0
compostela valley,PHL,philippines,881996,101155,101287,97372,97825,84260,67273,59745,54955,51899,43538,35666,26709,18795,13309,10364,6213,0,0
comunidad de madrid,ESP,spain,6492856,368403,338162,296396,288749,337111,448665,577260,614230,554411,499154,432257,359038,328213,279027,212777,205224,155335,138313
