ISOALPHA,COUNTRYNM,NAME1,pop_size,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_susceptible,perc_foreign_born
ARG,argentina,entre rios,1301641,75,32.49946221730877,31.977619020912833,30.846708116907813,80.10929994706682,NA
ARG,argentina,formosa,571725,75,28.84692378328742,26.191228300319207,25.09097905461542,83.54576621907385,NA
ARG,argentina,jujuy,733489,75,29.571427792373164,26.272568504776483,25.185544704828565,83.52334117621396,NA
ARG,argentina,la pampa,336708,75,33.582935362391154,34.05865022512087,32.86842011475819,78.85958153890017,NA
ARG,argentina,la rioja,701095,75,35.329086643036966,36.15866608662164,34.82635020931543,77.71594185324385,NA
ARG,argentina,mendoza,1895315,75,32.4377082437484,31.58259181191517,30.48078023969631,80.36519334105412,NA
ARG,argentina,misiones,1368533,75,27.981840408671182,24.587364718278625,23.537510604420937,84.49740695094674,NA
ARG,argentina,neuquen,646219,75,30.394015805787202,27.609896954438046,26.359670637972577,82.55809876032738,NA
ARG,argentina,rio negro,792120,75,31.871737236782305,30.648159369792456,29.43488360349442,80.80805583396456,NA
ARG,argentina,salta,1358978,75,28.712162374961185,25.197170226449582,24.13541646737475,84.22671647517473,NA
ARG,argentina,san juan,1107484,75,33.641546062967954,34.23460745256816,33.09514178082934,78.73849225884979,NA
ARG,argentina,san luis,508791,75,31.18898526113866,29.656381500458934,28.496180160419506,81.46276599939857,NA
ARG,argentina,santa cruz,3540082,75,26.458113399633117,20.168024356497956,19.07655811362562,87.291313879622,NA
ARG,argentina,santa fe,3351177,75,34.05634408448136,34.08376818055268,32.95266707786548,78.92242696401891,NA
ARG,argentina,santiago del estero,937136,75,29.060724377251542,25.9687601372693,24.958042375919824,83.78016457888717,NA
ARG,argentina,tierra del fuego,160381,75,29.048949065038876,25.655408059558177,24.355254051290363,83.44099863200753,NA
ARG,argentina,tucuman,1549336,75,30.495642004058514,28.200842167225186,27.159208848177542,82.28617415486377,NA
ARM,armenia,aragatsotn,133077,80,34.122662067825395,35.57218753052744,35.57218753052744,77.03459573029147,NA
ARM,armenia,ararat,258009,80,34.055174431899665,35.746427450205225,35.746427450205225,76.9221064381475,NA
ARM,armenia,armavir,274202,80,33.91767383170072,35.35284206533869,35.35284206533869,77.17620516261734,NA
ARM,armenia,gegharkunik,223459,80,33.42208861580872,34.322448413355474,34.322448413355474,77.84142730433771,NA
ARM,armenia,kotayk,266491,80,34.07554288887805,35.83873376586826,35.83873376586826,76.86251348075544,NA
ARM,armenia,lori,201346,80,36.30794502994845,40.134594181160786,40.134594181160786,74.08910599664259,NA
ARM,armenia,shirak,231296,80,34.82712411801328,37.26195005534034,37.26195005534034,75.94368504427227,NA
ARM,armenia,syunik,115843,80,35.938338958763154,39.130892673704935,39.130892673704935,74.73709568985609,NA
ARM,armenia,tavush,113076,80,36.70902755668754,40.42838444939687,40.42838444939687,73.89943499946938,NA
ARM,armenia,vayots dzor,45951,80,36.146765032317035,39.81850231768623,39.81850231768623,74.29317490370177,NA
ARM,armenia,yerevan,1093405,80,36.72002734576849,39.62760367841742,39.62760367841742,74.4164190652137,NA
ASM,american samoa,eastern,22155262,95,24.483203064806908,18.79332052132807,12.597729604822547,90.3419505984628,NA
ASM,american samoa,manua,1082,95,28.41913123844732,28.39186691312384,19.77818853974122,84.8370517560074,NA
ASM,american samoa,unorganized,3,95,32,33.33333333333333,33.33333333333333,74.44500000000001,NA
ASM,american samoa,western,20691162,95,25.81446136277895,21.138629140306378,14.53967157571914,88.85316078647492,NA
ATG,antigua and barbuda,barbuda,1890,80,30.137566137566136,27.724867724867725,23.894179894179896,84.57391746031746,NA
ATG,antigua and barbuda,saint george,155333,80,31.37020143820051,30.210193584106403,26.38100081759832,82.96842587215852,NA
ATG,antigua and barbuda,"saint john
city",19640,80,32.908273930753566,31.956211812627288,27.40936863543788,82.30451160896129,NA
ATG,antigua and barbuda,"saint john
rural",38825,80,31.96050225370251,30.68692852543464,25.898776561493886,83.27974985189954,NA
ATG,antigua and barbuda,saint mary,125024,80,31.56029642308677,30.26042999744049,26.7532633734323,82.7280931661121,NA
ATG,antigua and barbuda,saint paul,19551,80,31.602398854278555,29.91355940872589,26.086645184389546,83.15846186895811,NA
ATG,antigua and barbuda,saint peter,22683,80,36.52799453335097,40.42851474672663,35.61433672794604,77.00738420843804,NA
ATG,antigua and barbuda,saint philip,40908,80,36.24429207001076,39.79515009289136,35.162315439522835,77.29920915224406,NA
AUS,australia,australian capital,411902,30,36.0540516919073,37.89959747706979,37.89959747706979,90.8245074508014,NA
AUS,australia,NaN,3457,30,34.06479606595314,33.12120335551056,33.12120335551056,91.9813566676309,NA
AUS,australia,new south wales,7974161,30,38.31215051965969,42.970288661089235,42.970288661089235,89.5968931151503,NA
AUS,australia,northern,11079310,30,23.881025623436837,17.733907616990592,17.733907616990592,95.70662096592658,NA
AUS,australia,queensland,4989562,30,37.167306468984656,41.18848508145605,41.18848508145605,90.02826776177949,NA
AUS,australia,south australia,1840292,30,39.578706531354804,45.54208788605287,45.54208788605287,88.97426052278661,NA
AUS,australia,tasmania,570757,30,39.703002328486555,46.98037869005549,46.98037869005549,88.62605031913756,NA
AUS,australia,victoria,6174110,30,38.10406026131702,42.14943368355925,42.14943368355925,89.7956221052103,NA
AUS,australia,western australia,2577507,30,36.927402718983885,40.45405890265283,40.45405890265283,90.20607233966774,NA
AUT,austria,burgenland,282578,81.5,43.62078788865375,53.26359447656931,50.12775233740773,67.37610156133881,NA
AUT,austria,karnten,547855,81.5,42.96755528378859,52.1332469357768,48.98686696297378,68.08607578100046,NA
AUT,austria,niederosterreich,1648649,81.5,42.188910435150234,50.73351574531632,47.43508169416292,69.11427892413728,NA
AUT,austria,oberosterreich,1429235,81.5,41.06440053595105,48.47591893565439,45.319489097314296,70.58165965568992,NA
AUT,austria,salzburg,539459,81.5,40.945853160295776,48.091773424857124,44.84511334503642,70.89978425607877,NA
AUT,austria,steiermark,1221233,81.5,42.411425993237984,50.31211898139012,47.15111694492369,69.26942456353538,NA
AUT,austria,tirol,734348,81.5,40.52402267045052,47.028983533692475,43.76698785861744,71.60366469711907,NA
AUT,austria,vorarlberg,381119,81.5,39.697791241055945,45.739782062820275,42.52241425906344,72.4478038644098,NA
AUT,austria,wien,1841988,81.5,40.7150499894679,46.201332473392874,42.99392829920716,72.0235145701275,NA
AZE,azerbaijan,absheron,474047,80,29.327906304649115,25.041820747731762,25.041820747731762,83.83300052526437,NA
AZE,azerbaijan,aran,1983694,80,29.755939172069887,26.702949144374085,26.702949144374085,82.7605760323921,NA
AZE,azerbaijan,babek,54110,80,27.9343097394197,23.545370541489557,23.545370541489557,84.79910877841435,NA
AZE,azerbaijan,binagadi,273588,80,31.284478851411613,29.23315350088454,29.23315350088454,81.12707609982894,NA
AZE,azerbaijan,daglig-shirvan,318803,80,29.632142733914048,26.088462153743848,26.088462153743848,83.15728883354298,NA
AZE,azerbaijan,ganja-qazakh,1265303,80,30.866584130441485,28.840680848776934,28.840680848776934,81.3804564440296,NA
AZE,azerbaijan,garadagh,123132,80,29.669570054900433,27.109443524023003,27.109443524023003,82.49814326089076,NA
AZE,azerbaijan,julfa,47417,80,28.97532530527026,25.11883923487357,25.11883923487357,83.78327738996563,NA
AZE,azerbaijan,kalbajar-lachin,257166,80,30.40943009573583,26.815131082647003,26.815131082647003,82.68815137304308,NA
AZE,azerbaijan,kangarly,30943,80,29.829185922502667,25.13330963384287,25.13330963384287,83.77393530039103,NA
AZE,azerbaijan,khatai,280827,80,31.9171233535237,30.437244282066896,30.437244282066896,80.34971509149761,NA
AZE,azerbaijan,khazar,193530,80,31.088048364594638,28.525086549888908,28.525086549888908,81.58420412339173,NA
AZE,azerbaijan,khyzy,16604,80,29.653065526379187,26.34064080944351,26.34064080944351,82.99448229342327,NA
AZE,azerbaijan,lankaran,931743,80,28.84416840266039,24.227732325330052,24.227732325330052,84.35857601076691,NA
AZE,azerbaijan,nakhchivan city,109587,80,30.768371248414503,28.835537061877776,28.835537061877776,81.38377727285172,NA
AZE,azerbaijan,narimanov,184847,80,32.20381450605095,31.17269958398027,31.17269958398027,79.87490514858234,NA
AZE,azerbaijan,nasimi,238724,80,32.34047686868518,30.03191970643923,30.03191970643923,80.61139263752283,NA
AZE,azerbaijan,nizami,203914,80,32.76411624508371,31.768686799336976,31.768686799336976,79.49013580234805,NA
AZE,azerbaijan,ordubad,49974,80,30.941329491335495,28.791771721295074,28.791771721295074,81.4120321767319,NA
AZE,azerbaijan,quba-khachmaz,540957,80,29.990150788325135,27.639387234105484,27.639387234105484,82.15601160166149,NA
AZE,azerbaijan,sabail,103495,80,32.70367167496014,31.727136576646213,31.727136576646213,79.5169606261172,NA
AZE,azerbaijan,sabunchy,252902,80,32.23650663102704,30.59184980743529,30.59184980743529,80.24990176431977,NA
AZE,azerbaijan,sadarak,16444,80,28.949160788129408,23.71685721235709,23.71685721235709,84.68839698370226,NA
AZE,azerbaijan,shahbuz,25499,80,30.574865681007097,27.30224714694694,27.30224714694694,82.37366924193105,NA
AZE,azerbaijan,shaki-zaqatala,616699,80,31.1029675741326,29.48621612812734,29.48621612812734,80.96369886768099,NA
AZE,azerbaijan,sharur,92772,80,29.201973655844437,24.84219376536024,24.84219376536024,83.96187970508342,NA
AZE,azerbaijan,sumgait city,337590,80,30.417872271098076,28.006635267632333,28.006635267632333,81.91891627121657,NA
AZE,azerbaijan,surakhany,225504,80,31.770910937278273,30.784110259684972,30.784110259684972,80.12577841634739,NA
AZE,azerbaijan,yasamal,266019,80,33.41602103609141,33.05944312248373,33.05944312248373,78.65682352012449,NA
AZE,azerbaijan,yukhari-karabakh,644160,80,30.696711220814706,28.202216840536508,28.202216840536508,81.79264880774963,NA
BDI,burundi,bubanza,436916,69.33333333333334,20.173642073075833,11.91638667386866,12.679645515385108,92.83726824835895,NA
BDI,burundi,bujumbura mairie,927808,69.33333333333334,22.23315168655584,11.688409670966408,12.613277747120094,92.87475940065187,NA
BDI,burundi,bujumbura rural,800466,69.33333333333334,20.78289021644892,13.340978879802515,14.099537019686034,92.03517153757936,NA
BDI,burundi,bururi,873819,69.33333333333334,21.070574112030066,13.454113494899975,14.240637935316123,91.95546363033992,NA
BDI,burundi,cankuzo,348904,69.33333333333334,20.60563364134547,13.329970421663267,14.105369958498612,92.03187651044414,NA
