ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
MNE,montenegro,tivat,14743,0.3357225967216786,80,38.07946698196308,43.261766197291045,41.965324590209825,33.57225967216786
MNE,montenegro,ulcinj,19850,0.3316321688885707,80,37.81736120626076,42.770349452826395,41.454021111071334,33.16321688885707
MNE,montenegro,zabljak,3019,0.396615298402914,80,41.96721770804147,50.876996357523105,49.57691230036424,39.6615298402914
MNG,mongolia,arkhangai,73208,0.2101916791550703,90.5,27.228888651014532,21.90014034586931,23.29717643140893,21.01916791550703
MNG,mongolia,bayan-olgiy,80207,0.17314874694950255,90.5,24.751378590200858,18.03360240285339,19.189506288717855,17.314874694950255
MNG,mongolia,bayankhongor,67946,0.19479450389747657,90.5,26.61200290659269,20.242832606685166,21.58964196062888,19.479450389747658
MNG,mongolia,bulgan,45834,0.24434730990294917,90.5,28.91568830679355,25.532460190332607,27.086026571186274,24.434730990294916
MNG,mongolia,darkhan-uul,99206,0.2187470488294609,90.5,28.021099490302497,22.842390944595213,24.248361686635324,21.874704882946087
MNG,mongolia,dornod,63278,0.21915670872475432,90.5,27.811994540676316,22.988979716289407,24.29515194633601,21.91567087247543
MNG,mongolia,dornogovi,66720,0.20029842913861562,90.5,27.152097358881413,20.838253064042814,22.208527533229763,20.02984291386156
MNG,mongolia,dundgovi,28995,0.22542682199102299,90.5,28.116350569493804,23.640090288768384,24.975741379757665,22.5426821991023
MNG,mongolia,govi-altay,44733,0.19996448903669464,90.5,26.871615654886046,20.751179001559475,22.16635665032035,19.996448903669464
MNG,mongolia,govisumber,14068,0.20506276278571975,90.5,27.208584970567994,21.319470988456533,22.729149147618678,20.506276278571974
MNG,mongolia,hentiy,60497,0.2224505701385169,90.5,27.703948878855137,23.28032448151833,24.65875870513507,22.245057013851692
MNG,mongolia,hovsgol,110389,0.21222866938975438,90.5,27.320538611575174,22.09269576930142,23.52572793030762,21.222866938975436
MNG,mongolia,khovd,67329,0.18756205738865867,90.5,25.668952945496507,19.518176572417765,20.790274353459576,18.756205738865866
MNG,mongolia,omnogovi,79467,0.20682550324541943,90.5,28.457168679648348,21.333004683263493,22.927943472187984,20.682550324541943
MNG,mongolia,orkhon,106693,0.2302497072935559,90.5,28.39884409651278,23.93397460915081,25.5311187125508,23.02497072935559
MNG,mongolia,ovorkhangai,91046,0.20886382461869296,90.5,27.238222293018993,21.749233403687626,23.14543427183306,20.886382461869296
MNG,mongolia,selenge,92335,0.22792313473341408,90.5,28.093675629410054,23.775207715752998,25.270761137322044,22.79231347334141
MNG,mongolia,sukhbaatar,46729,0.21330582685795937,90.5,27.778571568378,22.255583175118907,23.646826251198842,21.33058268579594
MNG,mongolia,tov,71193,0.23851129559388343,90.5,28.73574632028436,25.02182781077793,26.433359574417324,23.851129559388344
