PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
3102,36,149167,48.52011503884908,0.42906272835144504,22.133581824398156,0.9325653802170166,67.90342570435976
3102,37,127881,39.54457659855647,0.32015702098044274,14.359443545170903,0.9666494949716827,75.28812827258193
3102,42,127924,47.466464463275074,0.40254369782058097,9.407929708264282,0.9324045090216907,69.88388390364229
3103,12,115103,42.20480786773585,0.35701067739329123,17.43829439719208,0.938810281485538,73.30141423519198
3103,36,131680,49.903554070473874,0.43177399756986634,18.57305589307412,0.9395390985761308,67.47360185162272
3103,37,130434,34.922642869190554,0.29155741601116275,23.264639587837525,0.9468399274987941,78.26755992299444
3103,42,142143,47.78990171869174,0.40896843319755455,18.298474071885355,0.9278594806646193,69.62279036178256
3104,12,139487,43.901582226300654,0.360198441431818,14.28806985597224,0.9422231360309551,72.95590321763939
3104,36,119622,45.12715052415108,0.3907726003577937,27.533396866797077,0.9218561976986098,71.40723591741619
3104,37,159928,46.30271122004902,0.3756065229353209,14.219523785703567,0.9505813988276025,71.50158283421696
3104,42,118491,48.17749871298242,0.4160653551746546,12.914904929488316,0.9271139659547252,69.00140414173914
3105,12,144699,42.02586057954789,0.3710322808035992,20.98494115370528,0.93117396321867,72.64269746894895
3105,17,142129,42.153255141456,0.327477151038845,12.933321137839568,0.9422324914330498,75.38385896684416
3105,36,168625,47.2936990363232,0.4221556708673091,28.498739807264638,0.923580870504823,68.9117848674514
3105,37,125483,34.05640604703426,0.2665859120358933,19.967645019644095,0.9420791450461372,79.71072958518847
3105,42,126429,51.40355456422182,0.45151033386327505,12.219506600542598,0.9294197258846052,66.2542500424167
3106,12,128178,42.511975534023,0.3702507450576542,17.1620714943282,0.9391682674763246,72.03153674363784
3106,17,174017,43.80549026819219,0.37977324054546396,23.350592183522302,0.93292414518044,71.75963493978207
3106,36,201122,43.101202255347495,0.37506090830441224,32.42260916259782,0.9178746834067415,72.85704250114937
3106,37,159253,44.57749618531519,0.34762924403307943,12.525352740607712,0.9522841871634345,73.73374766605392
3106,42,167198,50.03110085048864,0.42906613715475067,9.052141772030765,0.9313708091412107,67.83437267812036
3107,12,162252,40.434016221679855,0.3336168429356803,9.395878016911965,0.951475336724018,74.72283227875565
3107,17,127706,45.6485991261178,0.37194023773354423,7.773323101498756,0.9482590517792157,71.79654953957146
3107,36,194080,50.71568425391592,0.43850474031327286,28.772671063478978,0.9224629577824112,67.98099997887373
3107,37,140008,38.504942574710014,0.2984115193417519,13.44137477858408,0.9589547886208791,77.24504189861572
3108,17,112589,45.91212285392001,0.3677446286937445,3.151284761388768,0.953980718723946,71.82915688245566
3108,37,142867,40.31581820854361,0.31622418053154333,17.251009680332057,0.9510633513069434,76.229007917827
3200,13,144097,53.73810696961074,0.456886680499941,6.316578415928159,0.9613942181892898,64.83336719004885
3200,18,122120,48.52931542744841,0.3969947592531936,3.047821814608582,0.924951248065703,70.29989113138359
3200,37,164715,41.585162249946876,0.32699511277054305,10.142367118963056,0.9623248313767147,75.05824789567069
3200,39,137105,47.94135881258889,0.3978046023120966,2.7066846577440646,0.8992125814498658,70.94962300729831
3200,48,122512,38.28931043489617,0.3105083583648949,18.154956249183755,0.9195791851386487,77.40562277749706
3201,26,193452,48.851911585302815,0.41228315034220375,16.577238798254864,0.8377118707919695,71.92672070684152
3201,36,114540,50.897503055701065,0.4633403177929108,27.24812292648856,0.932708991950658,65.5593334653225
3201,42,148704,48.92403701312675,0.4417567785668173,27.29449106950721,0.9127466560797427,67.63179227295323
3201,47,127517,43.06014100080773,0.34782029062791625,4.1108244390943955,0.9539521071457436,73.22879967637613
3202,17,116931,48.04799411618818,0.41768222284937273,16.579008133001512,0.9354675003926464,68.8395324481241
3202,26,140438,51.51953175066577,0.4116834474999644,7.648214870619063,0.8210159670265502,72.45378014434787
3202,36,110925,54.762226729772365,0.47867478025693033,21.81473968897904,0.9394255547435232,63.9618692367562
3202,42,148359,42.693062099367076,0.3658288341118503,27.855404795125338,0.9129844382887248,73.16745072106818
