ISOALPHA,COUNTRYNM,NAME1,mu,sigma,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed,diff
THA,thailand,sa kaeo,34.426910997367926,3.0364372441246665,581435,0.3431461282866146,85,35.061904224882255,38.645185656388485,40.37013273960171,34.31461282866146,0.11229816870646658
THA,thailand,sakon nakhon,31.452480123962633,3.070975494107131,778561,0.31370289340685426,85,35.21145625340933,35.14814424235765,36.90622275374756,31.370289340685424,0.08219078327720908
THA,thailand,samut prakan,34.00766736064042,2.9950589319327534,2970561,0.3391089448043536,85,35.05269618588463,38.17229667055121,39.89516997698278,33.91089448043536,0.0967728802050587
THA,thailand,samut sakhon,34.041802042180954,3.00081118942861,1542076,0.33955222028543086,85,35.042577766182966,38.22447089417885,39.9473200335801,33.95522202854308,0.08658001363787093
THA,thailand,samut songkhram,34.484018574230674,3.0168901827074084,154064,0.3435142213054819,85,35.07661327145657,38.68798948358849,40.41343780064493,34.351422130548194,0.13259644368248047
THA,thailand,saraburi,34.29548309775866,3.017843180686946,832107,0.342136095123649,85,35.06166790499689,38.52684266660967,40.251305308664605,34.213609512364904,0.08187358539375822
THA,thailand,satun,29.015119370018372,2.8482217851690033,278431,0.28921230744613974,85,33.19345420650158,32.43602813635456,34.02497734660467,28.921230744613975,0.09388862540439646
THA,thailand,si sa ket,31.835440618283418,3.083753740885895,828790,0.31724136818719906,85,35.22603840222712,35.57271969021631,37.32251390437636,31.724136818719906,0.11130379956351177
THA,thailand,sing buri,34.39781186885666,3.023200763469812,137257,0.3430573437194206,85,35.08662333363173,38.63418845285986,40.35968749640242,34.30573437194206,0.0920774969145981
THA,thailand,songkhla,29.04120286362548,2.885872979196531,1595765,0.28954790050401613,85,33.399525913736795,32.45064461055641,34.06445888282543,28.954790050401613,0.08641281322386618
THA,thailand,sukhothai,37.779729508243264,2.9845639093937426,610588,0.3771445104676659,85,36.96810992286477,42.71690165500123,44.36994240796071,37.7144510467666,0.06527846147666594
THA,thailand,suphan buri,34.42188587340299,2.9860104837815733,763066,0.3431664864833297,85,35.085031910499715,38.647009529232626,40.37252782156819,34.31664864833297,0.1052372250700202
THA,thailand,surat thani,29.04821550758929,2.876424762705448,1070480,0.28946342255962665,85,33.32158139102284,32.45047440828719,34.05452030113255,28.946342255962666,0.10187325162662475
THA,thailand,surin,31.8542745505542,3.0282582495584034,867431,0.3176003306774198,85,35.230695051341456,35.615611666085194,37.36474478557879,31.76003306774198,0.09424148281222244
THA,thailand,tak,37.76913872105697,2.922776750479003,520660,0.3768762661526048,85,36.96115466367499,42.68794330207616,44.33838425324763,37.68762661526048,0.0815121057964916
THA,thailand,trang,29.059664548912796,2.8455713334136563,550551,0.28963499413056876,85,33.21254841605339,32.48665306173877,34.07470519183162,28.963499413056876,0.09616513585591946
THA,thailand,trat,34.28918084969417,3.0277001290231667,255893,0.3417522199917188,85,35.034113930025605,38.48250983511879,40.20614352843751,34.17522199917188,0.11395885052228749
THA,thailand,ubon ratchathani,31.694376313291915,3.0436663700127053,1647950,0.31549284871250205,85,35.21148552469595,35.363451555429116,37.11680573088261,31.549284871250205,0.14509144204171065
THA,thailand,udon thani,31.394968023834455,3.0529366728205733,1025930,0.31295107676064404,85,35.20886224273337,35.058053481431664,36.81777373654637,31.295107676064404,0.0998603477700506
THA,thailand,uthai thani,37.76901932352863,2.918583642006287,265844,0.3769313130908742,85,36.92267057810089,42.68821812038568,44.344860363632264,37.69313130908742,0.07588801444121174
THA,thailand,uttaradit,37.81273646446392,2.928028662770258,378314,0.377335158620986,85,37.037008918054305,42.746525730177304,44.39237160246894,37.7335158620986,0.07922060236531792
THA,thailand,yala,29.064685353847853,2.869416665662077,412496,0.2894714269797281,85,33.251425114969216,32.46087652093546,34.05546199761507,28.94714269797281,0.11754265587504165
THA,thailand,yasothon,31.6426034289022,3.04590703308781,387454,0.3150227487081152,85,35.21051321786471,35.30666645966699,37.06149984801355,31.50227487081152,0.14032855809067968
TJK,tajikistan,districts of republican subordination,15.730748345951255,1.6445569070791035,2245726,0.15214343398379593,91,23.822195646550018,16.719058679538016,16.719058679538016,15.214343398379594,0.5164049475716617
TJK,tajikistan,dushanbe city,16.849603782044102,1.6051261853771606,937911,0.16223027524977063,91,24.95126046862093,17.827502774700076,17.827502774700076,16.223027524977063,0.6265762570670397
TJK,tajikistan,gorno-badakhshan,20.670052385218995,1.6656106425327228,207812,0.20278802239284976,91,27.98902076669461,22.284398065148327,22.284398065148327,20.27880223928498,0.3912501459340163
TJK,tajikistan,khatlon,15.22900458602879,1.6167370120128772,3348214,0.14702114504677943,91,23.36141668587593,16.156169785360376,16.156169785360376,14.702114504677944,0.5268900813508459
TJK,tajikistan,sughd,18.792837797348746,1.6219861580932828,2679476,0.1831098760988846,91,25.865234094890173,20.12196440647083,20.12196440647083,18.31098760988846,0.4818501874602852
TKM,turkmenistan,ahal,20.469277821886607,2.2377517359582173,802768,0.19433945934943725,91,26.846992495742334,21.35598454389421,21.35598454389421,19.43394593494373,1.0353318869428776
TKM,turkmenistan,asgabat,20.490225190813955,2.2303469717403264,868966,0.1943394593494373,91,26.846992495742334,21.355984543894213,21.355984543894213,19.43394593494373,1.0562792558702263
TKM,turkmenistan,balkan,20.494285518686063,2.241606295956307,474586,0.19433945934943728,91,26.846992495742334,21.35598454389421,21.35598454389421,19.43394593494373,1.0603395837423335
TKM,turkmenistan,dasoguz,20.444001747643277,2.2847170334697005,1161253,0.19433945934943728,91,26.84699249574233,21.35598454389421,21.35598454389421,19.43394593494373,1.010055812699548
TKM,turkmenistan,lebap,20.39263404413752,2.1846325107705766,1126468,0.1943394593494373,91,26.84699249574233,21.35598454389421,21.35598454389421,19.43394593494373,0.9586881091937904
TKM,turkmenistan,mary,20.508760384274648,2.2524941434080468,1251297,0.1943394593494373,91,26.846992495742334,21.35598454389421,21.35598454389421,19.43394593494373,1.074814449330919
TLS,timor-leste,aileu,17.758803539856636,2.292291619645294,67930,0.17039846115322457,89,22.885975096177933,18.207562202645175,19.145894511598257,17.039846115322455,0.7189574245341817
TLS,timor-leste,ainaro,17.002895715592544,2.2148415226194715,61434,0.162788591983556,89,22.622302158273374,17.440561836245287,18.290853031860223,16.2788591983556,0.724036517236943
TLS,timor-leste,baucau,20.696062545582148,2.3147773549787107,123664,0.20014595966975957,89,24.48831007525388,21.537042449039227,22.48831007525388,20.014595966975957,0.6814665786061909
TLS,timor-leste,bobonaro,19.225561264342044,2.2682772322458735,100077,0.18559249175465392,89,23.889844389844388,19.923191004272084,20.85308896119707,18.559249175465393,0.6663120888766514
TLS,timor-leste,covalima,18.584284083135525,2.296408960090071,67540,0.1782252586575459,89,23.85840102607952,19.061479264643012,20.025309961522016,17.822525865754592,0.7617582173809332
TLS,timor-leste,dili,12.231700899516593,2.2183655559393856,363396,0.1131549231576322,89,22.27339886649982,11.83510066479183,12.71403630984631,11.31549231576322,0.916208583753372
TLS,timor-leste,ermera,16.286303867168133,2.2997271771049084,136237,0.15506074726033306,89,22.097463111571315,16.454396410389162,17.422555871947534,15.506074726033306,0.7802291411348268
TLS,timor-leste,lautem,18.30836610959347,2.3108498556005235,62872,0.1759856154344343,89,23.05089136585199,18.805603844973916,19.77366465555441,17.59856154344343,0.7098045661500407
TLS,timor-leste,liquica,17.873335716545217,2.2723544012904937,74864,0.17136261517506607,89,23.232032689688324,18.350132200945428,19.254226424164724,17.136261517506608,0.7370741990386094
TLS,timor-leste,manatuto,19.658044701205537,2.2619435085038493,53634,0.189322691914266,89,24.10731022670505,20.383947474843588,21.27221257463663,18.9322691914266,0.7257755097789378
TLS,timor-leste,manufahi,18.40503554217671,2.2438598702149752,51450,0.17655018587360594,89,23.420993275134705,18.93321080990769,19.837099536360217,17.655018587360594,0.7500169548161146
TLS,timor-leste,oecusse,18.5096015226094,2.3124735223392485,72332,0.1772057455497217,89,23.46681803131356,18.91900414676064,19.910757926935023,17.72057455497217,0.7890269676372306
TLS,timor-leste,viqueque,19.970336143618574,2.225940387843864,79098,0.19240644209850044,89,24.459152831924307,20.761604392074407,21.61870135938207,19.240644209850043,0.7296919337685317
TON,tonga,eua,14.191946102905671,2.5714533904120596,4879,0.17250398724082935,80,26.14413875598087,22.771132376395546,21.562998405103677,17.250398724082935,-3.0584526211772634
TON,tonga,haapai,15.45290509776092,2.556576415690621,5399,0.18270858524788391,80,27.00702841596131,23.957073760580418,22.83857315598549,18.270858524788395,-2.817953427027474
TON,tonga,niuas,19.63313543552896,3.3315909342409533,833,0.23538221528861156,80,29.794851794071764,30.608424336973485,29.422776911076447,23.53822152886115,-3.9050860933321907
TON,tonga,tongatapu,12.950893709772028,2.4209445062524586,85165,0.15801336987968026,80,25.754833396942175,20.848472995297193,19.751671234960032,15.801336987968028,-2.850443278196
TON,tonga,vavau,15.042606177140703,2.5682902490278523,14485,0.18028682482240987,80,26.68971987669213,23.700576330250637,22.53585310280123,18.02868248224099,-2.986076305100285
TTO,trinidad and tobago,arima,21.878599299660937,3.322989397566863,34361,0.24950675056395616,80,33.87443545924416,35.231999601342,31.18834382049452,24.950675056395617,-3.07207575673468
TTO,trinidad and tobago,chaguanas,19.302802417067856,3.233839456397736,98422,0.2246050752663889,80,32.857528614366984,32.462133442478184,28.075634408298612,22.46050752663889,-3.157705109571033
TTO,trinidad and tobago,couva -tabaquite-talparo,19.966119396393488,3.3439051319998327,190246,0.23243567765790213,80,33.00430484794791,33.420650112858574,29.05445970723776,23.243567765790218,-3.27744836939673
TTO,trinidad and tobago,diego martin,23.678128755474305,3.480085277008223,99670,0.2682115921269078,80,34.82956170558003,37.52783881668248,33.52644901586347,26.82115921269078,-3.143030457216476
TTO,trinidad and tobago,mayaro -rio claro,18.62618924252451,3.254722883755919,38386,0.21846442266723476,80,31.806561567959086,31.644936798750173,27.308052833404343,21.846442266723475,-3.220253024198964
