ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
BWA,botswana,18.99215425644752,96,26.258752034724992,18.803189539188992,19.783494017132835,18.55922059073638,19.03370356535224,0.11610333934793163
CAF,central african republic,13.2784823174372,86.5,22.86460245399114,15.535597911192724,15.535597911192724,13.2784823174372,13.278482317437202,1.1749496091904413e-15
CAN,canada,28.646086974730068,80,39.67155216228901,46.57267650454037,35.807608718412595,11.59539384359283,32.23220836525197,6.0394434470037135
CHE,switzerland,39.030586259347544,81.5,40.817017027076304,47.27729315338494,48.890544538335405,36.074518529612085,43.081046428571426,1.8667021047025556
CHL,chile,29.339792600419088,93,32.518831621539654,33.0169692109351,31.54816408647214,25.81601345538418,31.269962445060344,1.7011332912942705
CHN,china,31.864012979285118,90.33333333333333,35.68170484391974,36.882015952452484,35.01539887833531,20.5688222999069,39.953309712452885,4.473732463846441
CIV,cote d'ivoire,14.035567581247856,83,22.718014596666404,16.004732327000955,16.91032238704561,13.998075249600827,14.077048622544366,0.02568195533921592
CMR,cameroon,12.149045618131984,78,21.8411884216638,14.115621100949427,14.940376454565461,10.355068790833382,16.71546842648493,1.923994276470858
COD,democratic republic of the congo,13.633489911863467,90.33333333333331,21.14893160017972,13.969761803562946,14.784778330513989,13.633489911863464,13.633489911863473,2.6347629809804343e-15
COG,congo,13.240656032399906,86.5,22.742064155262646,14.58119345760528,15.524366717908304,11.364103761319884,20.0481953129248,2.8279449817060835
COK,cook islands,9.656598286756939,30,32.16173327875084,33.61601153970766,32.18866095585647,7.589072158785867,9.747050668334923,1.5259212377569764
COL,colombia,13.65229363849468,87.5,27.700840980105873,23.687743837729915,15.571656627209693,7.489631968221501,16.95736502430842,2.6560335115493072
COM,comoros,12.65308350667718,80,22.35905838005757,15.056977693815801,15.816354383346471,10.674106210424569,14.397334626225748,2.1118926440954735
CPV,cape verde,15.717148792321314,80,26.92994627236245,20.717271711738995,19.646435990401642,11.410780220862971,20.01751601775935,2.956486993411143
CRI,costa rica,24.260889731970465,80,31.169703587362264,29.011109018106353,30.32611216496309,20.41898463280736,26.096954731474725,1.8181052671555669
CUB,cuba,12.987592128670476,80,38.338961905706235,43.72420529424794,16.234490160838096,10.447357553303204,15.719018535823794,1.323331729904317
CUW,curacao,NA,NA,38.551617695228515,46.07709208118974,NA,NA,NA,NA
CYM,cayman islands,11.280081361449405,60,34.3761261353366,33.63200365290593,18.800135602415672,10.018843120069915,17.617699115044243,2.7081491777692577
CYP,cyprus,26.976968838066725,80,34.5089724269372,35.193696269258965,33.7212110475834,21.70846328298798,31.01464895696792,3.1268450639970737
CZE,czech republic,37.75404468021706,80,40.578947045964895,45.84584490479384,47.19255585027133,36.46057619964812,38.86647636637085,0.7479704016241294
DEU,germany,40.95246274788652,80,43.32646401412418,52.775688543344714,51.19057843485816,37.169495588403606,46.01449820565763,2.727476971597926
DJI,djibouti,15.021419031655912,90,23.510369637997275,14.43442183603745,16.690465590728788,15.021419031655908,15.021419031655912,1.9459014222361975e-15
DMA,dominica,23.531433813907785,80,30.936280000033012,28.156524217588547,29.41429226738472,23.486245429294428,23.556744783353068,0.023747866810542733
DNK,denmark,39.6982730931137,92,39.78354218545689,46.14315622293159,43.15029684034097,37.22290530615321,43.046096127066114,2.4236031776992193
DOM,dominican republic,20.47933241103905,80,28.622199040459176,24.37116488489518,25.599165513798813,18.21906545207291,22.85020889009163,1.6333393497335578
DZA,algeria,19.432543429483236,84.5,27.76279310416895,21.581224436599086,22.767768105470772,13.10507873763082,23.639888043778825,2.581962021911075
ECU,ecuador,21.86988313616436,86.5,28.362929359536977,24.37213481312153,25.502153323551184,14.792743188949816,24.281712689432094,3.0132221289379757
EGY,egypt,20.984211428396385,84.5,25.657795375522486,19.783596137363844,24.48418498975437,16.029514555852693,26.29763147764856,2.5888089639531944
ERI,eritrea,9.762851036337425,88.5,21.12991355701586,12.591118174631044,11.068753699992735,9.762851036337423,9.762851036337429,3.076740298213702e-15
ESH,western sahara,18.207684498556823,84.5,26.63963094994236,19.78917710824577,21.223352571693354,16.17388605402499,19.026684325099087,1.4646307623088701
ESP,spain,38.22507520879038,81.5,41.02308937919486,46.094869636688735,47.738829896170294,29.755294900202145,45.82707614122779,4.064169159186422
EST,estonia,37.51189150181449,80,40.813519948709,46.8898643772681,46.8898643772681,32.647746396468925,43.39520966502978,3.1038701423657686
