ISOALPHA,COUNTRYNM,mean_susceptibility,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_susc,max_admin1_susc,std_admin1_susc
BTN,bhutan,88.25986092966586,77,25.014389248205525,17.937412431312055,18.893350505051803,84.03907985865725,91.41311936170213,1.5728413994622514
BWA,botswana,82.97540544245578,96,26.149863687337252,20.883222682788457,21.97515819592144,80.54214383571563,92.53973333333333,2.274107017764451
CAF,central african republic,89.28483383140518,86.5,22.864174568093663,15.534784326905399,15.534784326905399,89.2844632086192,89.28846531603438,0.0010502936883241573
CAN,canada,76.88231819701889,80,39.67207084729846,46.573739710996044,35.80805731564605,73.98857329057658,90.64753611760399,4.875333368096609
CHE,switzerland,68.50239803005847,81.5,40.81693794896092,47.277202237258514,48.89046817845471,65.2335546373186,70.8879612224556,1.5064917432424012
CHL,chile,76.64735428505577,93,32.28973740566634,32.56894737436465,31.115702275711474,74.76516754515366,81.00253342370536,1.745286870049105
CHN,china,74.28574393024533,90.33333333333333,35.68170305084425,36.88201286644274,35.0153956040615,67.75768067030737,83.40103510130923,3.6103098835768344
CIV,cote d'ivoire,88.7636866082253,83,22.60826076276659,15.873673456524815,16.775374198316975,88.63989072178212,89.49309582979141,0.22009841116855058
CMR,cameroon,89.64021372706884,78,22.474700409455984,14.93765916801998,15.799801720699252,85.68685574961245,91.33174062812557,1.7752055641330249
COD,democratic republic of the congo,88.997796646334,90.33333333333333,21.148915015362068,13.96973245427542,14.784748290007911,88.99777757366599,88.99788106456215,3.1935666354060206e-5
COG,congo,89.33223481004936,86.5,22.48703324698143,14.560186463600553,15.506089799986386,83.82269089554775,90.82963272097572,2.321617837416904
COK,cook islands,NA,NA,32.15256700032289,33.59918200408998,NA,NA,NA,NA
COL,colombia,88.93309581136802,87.5,27.648770777664822,23.500566466242827,15.643350266802019,85.04470435322948,93.80526903281591,2.2794050646949113
COM,comoros,NA,NA,22.35444897448898,15.051292914840564,NA,NA,NA,NA
CPV,cape verde,87.31945886554242,80,26.92704481919019,20.712309495896836,19.641482550275047,83.84848699296754,90.79880755103784,2.383590147311578
CRI,costa rica,80.29218029883748,80,31.279826028453776,29.214964052114503,30.526362610226943,78.64945925775243,83.52224424640922,1.5327135563357641
CUB,cuba,89.51912908128202,80,38.338878452823536,43.72407405575737,16.2343105928098,87.31492044252417,91.5711680570683,1.0681489866995124
CUW,curacao,NA,NA,38.5314512286018,46.05625542209895,NA,NA,NA,NA
CYM,cayman islands,NA,NA,34.366076789382205,33.61415705482699,NA,NA,NA,NA
CYP,cyprus,78.2561917325933,80,34.49169445249831,35.151907385163405,33.68000041419873,74.97172470838996,82.48161553864917,2.523303287895151
CZE,czech republic,69.53253503184712,80,40.57889574579732,45.845766916713195,47.192479814363175,68.63476732609891,70.57632076448627,0.6035940586408549
DEU,germany,66.95136043769621,80,43.32646280118435,52.775692487747186,51.190581725997184,62.86631223164771,70.00420462742696,2.201083728418863
DJI,djibouti,87.8781828199541,90,23.51004521064706,14.43378970596548,16.689821258496327,87.87771863453733,87.88050698410514,0.0010697768428062373
DMA,dominica,79.64973881135462,80,31.828465851697622,30.192644663876806,31.521470242635388,72.86846290173258,83.63124409448818,3.165653637302169
DNK,denmark,67.96353368639708,92,39.78350293761438,46.14309699784409,43.1502428662288,65.26191483084257,69.96112793102603,1.9558215082604975
DOM,dominican republic,83.4733263801678,80,28.622066597914994,24.370936346833005,25.598936833692974,81.56010921411571,85.2973724784516,1.3180397790025782
DZA,algeria,84.32400842213269,84.5,27.754997059157844,21.572794049485807,22.758915811497662,80.92280976991995,89.42806547097967,2.087690603859224
ECU,ecuador,82.52735598738187,86.5,28.175200882357863,24.10017160057039,25.257111756033442,80.41154194494187,88.06329111459151,2.4129936464146122
EGY,egypt,83.16557079987794,84.5,25.57846290450155,19.66108591362396,24.341030515844473,78.77783351002417,87.0644831690364,2.149998015809728
ERI,eritrea,92.12164302025319,88.5,21.129707580284236,12.5907414889169,11.068384296368226,92.12145930382441,92.12341068637909,7.4298193248306e-4
ESH,western sahara,NA,NA,27.288842680874033,21.703542578982166,NA,NA,NA,NA
ESP,spain,69.26338350878704,81.5,40.929557470484816,45.93186209909163,47.571315092559566,63.017501799237664,76.00539733104416,3.690380392399445
EST,estonia,69.72831400981161,80,40.81316276292892,46.88922860933765,46.88922860933765,64.98017045301788,73.65367455421583,2.5046899664549938
ETH,ethiopia,91.4784998705662,88.5,21.478925315061453,13.514454156048613,11.959939814905956,89.41533734140737,93.7207856859565,1.494853792300635
FIN,finland,63.601087337995615,95,41.13280661780076,48.73726131049322,47.47787473032595,57.52669600095626,67.52628320013301,3.3709348065994122
FJI,fiji,85.6997734934131,80,27.659489398143773,23.508483153252847,22.150288888765314,81.45311287758346,87.59633421622924,1.3640583902267949
FLK,falkland islands (malvinas),NA,NA,37,41.44774011299435,NA,NA,NA,NA
FRA,france,68.32212919603758,77.5,39.82630804245673,45.59622432225744,51.21111475566609,64.65149414341704,72.15824988487081,2.0952699235975385
FRO,faeroe islands,NA,NA,37.32585307764957,42.11103354822814,NA,NA,NA,NA
FSM,micronesia (federated states of),85.95570726599604,80,25.449627912194757,20.665083579522083,21.75386111214988,82.1299954053167,87.02615866057839,2.204173606534454
GAB,gabon,87.58555707689297,78,24.173783574654866,18.017442054008498,18.936539730972434,87.58519718807649,87.58706178293771,7.49836838897794e-4
GBR,united kingdom of great britain and northern ireland,83.8437023454447,60,39.50304085631022,44.941118208128216,33.36699226467427,82.36315291453786,85.25300505817599,1.2564090715652658
GEO,georgia,76.41556260573955,80,33.71274547776643,36.531036856041574,36.531036856041574,76.32535482925287,76.62257970067316,0.0676043896878541
GGY,guernsey,NA,NA,32.57205220756049,31.522907510686156,NA,NA,NA,NA
GHA,ghana,85.73989344160424,94,25.207526081762364,19.524438021976703,18.504409551013943,84.48001667904296,87.76050979803124,1.2975035046039933
GIN,guinea,89.87508607864457,90.66666666666666,20.102864729641624,12.453935491858264,13.347193336702034,89.8711409193636,89.88198060125885,0.003882961021824703
GLP,guadeloupe,75.99075035037652,80,37.0342207117908,41.94158212849802,37.189048404001674,75.98137545252833,76.00003028682897,0.0131909598358995
GMB,gambia,92.17861368311458,83,20.60228597395926,12.48890343518893,11.677022315112374,92.1704424263241,92.18406168142474,0.004970696357309134
GNB,guinea-bissau,92.73335998105567,68,21.3010436568154,12.797726250041615,13.529853976109086,90.84695564074634,93.90819493521592,0.9868900334200472
GNQ,equatorial guinea,NA,NA,23.980675452689372,19.773706406377833,NA,NA,NA,NA
GRC,greece,67.93274939360221,80,42.01785244975547,48.13065654980167,49.67046252539929,65.72821641168754,70.43283703731653,1.6219827829434406
GRD,grenada,83.33013412919132,80,31.674427659835963,29.865579322773858,25.820734000633,79.87715965888512,86.9817721102427,2.4371592147582337
GRL,greenland,75.05066609771708,80,33.41023931441576,36.765521655643276,38.64518882014082,74.56336,79.62691818181818,2.8716454471030692
GTM,guatemala,89.25111966940081,80,22.76046074134676,15.835231670144353,16.64944289126268,89.23087110726266,89.28108035895302,0.010836041711163294
GUF,french guiana,84.02798103812931,87.5,26.044003215328154,21.270647611894077,22.533256903401792,80.38243620431811,89.37881479464083,6.361400307338669
GUM,guam,83.64815981167273,95,31.248609198720796,31.242449142755618,21.328950875011103,81.25030352235822,87.04635711624441,1.781435661028988
GUY,guyana,81.26085521444719,87.5,28.444044631561482,25.165916585436673,26.445289005952258,79.98827257234224,87.08297218227031,2.983515450063396
HKG,"china, hong kong special administrative region",65.23526021475527,90,41.07068377815242,47.865537360931754,47.865537360931754,63.52709527232256,66.69075736265259,1.7825802484546698
HND,honduras,85.96109837110184,80,26.430915431670094,20.72536652434317,21.745510577599376,83.35554860812265,90.1614354799443,1.5231515366358253
HRV,croatia,69.43874697972302,80,41.31993254992073,48.6775800354711,47.33775250972272,65.36229864031685,71.29688484848484,1.6393488111938683
HTI,haiti,88.92061414249324,80,23.459973591965507,16.250939096496094,17.16137834186302,85.82968787028882,90.5252957652158,1.559009587005815
HUN,hungary,68.86473124963473,80,41.04276928058643,46.78764451495244,48.22687228990903,67.34093147636285,69.91362960897696,0.9894512609517647
IDN,indonesia,80.62562039522889,93,28.69719454235539,24.4276137211029,25.814951972353594,78.66463407785687,88.21310069437293,3.0099130004113936
IMN,isle of man,NA,NA,41.10791418965556,48.87360007124886,NA,NA,NA,NA
IND,india,81.11120536954752,97,27.725475232942205,22.94753749799462,24.130091889845904,72.63625007321964,87.45104146725112,3.375841351240199
IRL,ireland,81.16828814392139,65,35.744100707520325,37.34173185622139,35.90069937294557,79.65625031490437,82.06870742845797,1.0560002098452221
IRN,iran (islamic republic of),81.71112193846128,88,29.936394353841024,24.446508782162446,25.75317965182314,81.70740908911829,81.72873299607147,0.0036404632900502443
IRQ,iraq,88.96487504097206,88,22.537032709761515,14.56080149253339,15.53892778955156,88.96481043806033,88.96508150742591,5.754078595053809e-5
ISL,iceland,86.04891285889991,95,22.996402295122238,17.30710048721265,18.19746578112581,67.23863084966646,86.82854167372443,8.262548544010894
ISR,israel,85.3961502386409,80,27.408552680938964,23.64325833739342,22.620585132216686,76.38279958444936,89.16959064346065,4.815938767815132
ITA,italy,72.28605440649355,86,38.89908197495011,46.09562923608718,40.69818453500696,67.92788329429422,75.32132540885029,1.7056593211191002
JAM,jamaica,83.63354546264426,80,31.267224303165282,29.104596072079367,25.350766012013228,79.72840522058868,86.81271232613447,1.5894319600452018
JEY,jersey,NA,NA,34.54774549206647,36.41270230682089,NA,NA,NA,NA
JOR,jordan,89.85198197831451,80,23.437174448065804,14.768817798366817,15.718739190962683,88.69256260859319,91.73366061513015,0.831253017738066
JPN,japan,68.6038838047895,80,44.50767216418913,52.66489197956967,48.6309110830398,62.42157042403714,72.83345950359403,2.1813447086414244
KAZ,kazakhstan,79.68459981238541,89,30.6463445828499,28.473564161286056,28.473564161286056,72.20197168784901,84.72978775970637,4.136902272831498
KEN,kenya,87.43946628429059,82.33333333333333,23.950194670010866,17.44558908174331,18.389677947312258,84.86346354979966,92.54847171582492,3.2295714233380526
KGZ,kyrgyzstan,83.8597817274733,91,27.110999472296186,21.978319202209654,21.978319202209654,79.58075135511396,86.14923292438456,2.251121472451285
KHM,cambodia,86.84713623003263,89,25.544537654678717,19.408081669164147,18.312885524090294,84.89588162875596,90.50088727214558,1.569615919804759
KIR,kiribati,NA,NA,24.96054615240439,19.502579188838997,NA,NA,NA,NA
KNA,saint kitts and nevis,86.46611394302849,80,29.72144609513425,25.065421834537275,20.96326836581709,84.447172562399,87.26943037462192,1.9956376372795332
KOR,republic of korea,74.59346622343895,80,37.457511820742056,41.089879153550946,39.35336706406607,68.02387085781618,77.26303344569901,2.708496248140801
KOS,kosovo,81.49807895667578,95,29.014285224863567,25.385833071348536,24.13346513183881,67.57522821203953,85.77498992086122,3.408798007085747
KWT,kuwait,88.13421590627637,80,27.02060246540195,16.72013976819273,18.379467307502534,85.39012305178683,92.04993025191527,2.427169475145966
LAO,lao people's democratic republic,89.27559161129517,89,23.086401943368404,15.891916267906977,14.931718793011763,88.19135771944997,90.4901173495771,0.6576978179306778
LBN,lebanon,85.70032931007555,80,27.111283424543196,23.28575135061334,22.14942795837123,81.77376715748433,90.03203024174181,3.2481254030379896
LBR,liberia,89.03836693440552,87.66666666666666,22.369317786811024,13.981448305381866,14.878473629730628,86.70705006897634,90.4962118718651,1.0349656140279369
LBY,libya,83.44101818702256,84.5,28.507480422193378,22.689801718151976,24.038357310135577,76.96023626386557,87.74891532846716,2.2986981625646834
LCA,saint lucia,84.11267012716144,80,30.92894789998074,28.655715218504408,24.608627436243125,81.15038109912686,89.12988124082688,2.2987818086261838
LIE,liechtenstein,68.65224653408795,80,39.763863648164495,46.8123993976842,48.555999792304895,65.12109904153354,73.1979330593071,2.347655715611765
LKA,sri lanka,85.08861304422642,85,25.679543064412876,20.690579037804465,21.738300103176023,76.01455329414435,87.17816208157367,4.054669906582206
LSO,lesotho,88.22863467242216,72,25.76663860065224,19.364847909872516,20.259130744144677,87.24520016444113,89.02844221350544,0.6597061906499619
LTU,lithuania,71.02017309684464,80,38.67299477030236,44.888207718642114,44.888207718642114,67.20963359544922,72.8621231127073,1.617127564953149
LUX,luxembourg,72.91571452776645,80,38.82271997203798,43.61062889574994,41.95211504373226,72.28295435684646,73.2867200699989,0.5103266933173549
LVA,latvia,69.09327674884798,80,41.2315419590878,47.872867489392824,47.872867489392824,67.09917843516607,69.76940882997599,1.0779725638004116
MAC,"china, macao special administrative region",NA,NA,34.04946919230472,35.17534980849225,NA,NA,NA,NA
MAR,morocco,81.79461125990625,84.5,28.418108211237705,25.037327100679484,26.347647450876874,80.53228104217835,84.65043528225966,1.384729309166347
